slug,briefId,role,imageType,briefStatus,resolvedStatus,sourceAvailable,dimensions,placement,mustShow,maskingRequirement,altText,note
doanh-nghiep-can-gi-khi-goi-ra-thi-truong-nuoc-ngoai,featured,featured,Sơ đồ năm nhóm điều kiện,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Năm khối chuẩn bị — đầu số, hồ sơ, chất lượng thoại, tổ chức theo múi giờ, ghi nhận dữ liệu — với ghi chú rõ rằng hai khối đầu phụ thuộc quy định sở tại.",Không có dữ liệu thật; không nêu tên quốc gia cụ thể như một cam kết phủ sóng.,Sơ đồ năm nhóm điều kiện cần chuẩn bị khi doanh nghiệp bắt đầu gọi ra thị trường nước ngoài,Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
doanh-nghiep-can-gi-khi-goi-ra-thi-truong-nuoc-ngoai,inline-1,in-article,Sơ đồ mô hình ca trực,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Trong mục ""Nhóm 4 — Tổ chức đội ngũ khi lệch múi giờ""","Ba mô hình tổ chức đội ngũ theo múi giờ đặt trên cùng một trục hai mươi bốn giờ, với vùng phủ của từng mô hình.",Không có dữ liệu thật; không thể hiện cam kết về khung giờ phục vụ.,Sơ đồ ba mô hình tổ chức ca trực khi đội ngũ làm việc lệch múi giờ với thị trường mục tiêu,Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
dong-bo-hoa-du-lieu-la-gi-tai-sao-nen-dong-bo-du-lieu,featured,featured,Sơ đồ chiều dữ liệu,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Hai hệ thống đặt hai bên, ba nhóm mũi tên: CRM sang tổng đài (nhận diện), tổng đài sang CRM (bản ghi hoạt động), và vùng cảnh báo cho các trường hai bên cùng ghi.",Không có dữ liệu thật; không hiển thị logo nền tảng bên thứ ba.,"Sơ đồ ba chiều dữ liệu giữa hệ thống tổng đài và CRM, gồm vùng cảnh báo trường hai bên cùng ghi",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
du-lieu-dong-bo-giua-tong-dai-va-helpdesk,featured,featured,Sơ đồ vòng đời ticket,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Vòng đời một ticket từ lúc tạo tới lúc đóng, với các điểm dữ liệu cuộc gọi được ghi vào ở từng giai đoạn và nhánh mở lại sau khi đóng.",Không có dữ liệu thật; không hiển thị logo nền tảng bên thứ ba.,Sơ đồ vòng đời ticket hỗ trợ và các điểm dữ liệu cuộc gọi được ghi vào từng giai đoạn,Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
du-lieu-dong-bo-giua-tong-dai-va-helpdesk,inline-1,in-article,Sơ đồ ranh giới dữ liệu,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,Sau bảng ranh giới dữ liệu,"Hai vùng hệ thống với danh sách trường được phép đi qua ranh giới và vùng ""không nên đẩy qua"" được đánh dấu rõ.",Không có dữ liệu thật.,"Sơ đồ ranh giới dữ liệu giữa tổng đài và Helpdesk, phân biệt trường nên và không nên đồng bộ",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
ho-so-dang-ky-dau-so-quoc-te,featured,featured,Sơ đồ quy trình chuẩn bị hồ sơ,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Trình tự bốn nhóm giấy tờ với cổng kiểm tra đầu tiên là điều kiện về địa chỉ, và nhánh dừng lại nếu điều kiện đó không đáp ứng được.","Không hiển thị giấy tờ thật, không hiển thị tên doanh nghiệp hay thông tin cá nhân nào.","Sơ đồ trình tự chuẩn bị bốn nhóm hồ sơ đăng ký đầu số quốc tế, bắt đầu từ điều kiện về địa chỉ",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
hop-nhat-hoi-thoai-hotline-zalo-oa-va-facebook,featured,featured,Ảnh chụp màn hình sản phẩm,PRODUCT_SCREENSHOT_REQUIRED,BLOCKED,NONE,1600×900,"Ảnh đại diện, hiển thị đầu bài",Hàng đợi hội thoại đa kênh trong Gcalls CX với các mục đến từ nhiều kênh khác nhau và nhãn kênh hiển thị rõ.,"Che tên khách hàng, ảnh đại diện, nội dung tin nhắn, số điện thoại, tên nhân viên và tên tenant. Gắn nhãn ""ảnh minh hoạ"".","Ảnh chụp hàng đợi hội thoại đa kênh trong Gcalls CX, dữ liệu khách hàng đã được che",Needs the Gcalls CX multichannel queue. No Gcalls CX capture delivered.
hop-nhat-hoi-thoai-hotline-zalo-oa-va-facebook,inline-1,in-article,Sơ đồ ba lớp hợp nhất,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Đầu mục ""Hợp nhất nghĩa là gì về mặt kỹ thuật""","Ba lớp xếp chồng: gom hàng đợi, nhận diện cùng một khách hàng, giữ ngữ cảnh khi chuyển kênh. Lớp giữa được đánh dấu là lớp khó nhất.",Không có dữ liệu thật; không dùng logo nền tảng bên thứ ba.,"Sơ đồ ba lớp hợp nhất hội thoại đa kênh, từ gom hàng đợi tới giữ ngữ cảnh khi khách chuyển kênh",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
khi-nao-doanh-nghiep-can-nen-tang-da-kenh,featured,featured,Minh hoạ biên tập,EDITORIAL_ILLUSTRATION_REQUIRED,EDITORIAL_ILLUSTRATION_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Bốn ngưỡng vận hành xếp theo mức độ nghiêm trọng, với vùng đánh dấu điểm mà chi phí chờ đợi vượt chi phí triển khai.",Không có dữ liệu thật; không mô tả khách hàng cụ thể.,Minh hoạ bốn ngưỡng vận hành cho thấy khi nào doanh nghiệp cần hợp nhất kênh liên lạc,"Original brand illustration. No stock photography, no unverified figures baked into the image."
loai-cuoc-goi-phu-hop-dua-vao-kich-ban-voicebot,featured,featured,Sơ đồ ma trận phân loại,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài",Ma trận hai trục — mức độ lặp lại và độ phức tạp của hội thoại — với vùng phù hợp cho kịch bản tự động được tô rõ và các loại cuộc gọi đặt vào từng ô.,Không có dữ liệu thật; không dùng tên khách hàng hoặc đối tác.,"Sơ đồ ma trận phân loại cuộc gọi theo mức độ lặp lại và độ phức tạp, đánh dấu vùng phù hợp với Voicebot",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
loai-cuoc-goi-phu-hop-dua-vao-kich-ban-voicebot,inline-1,in-article,Sơ đồ luồng chuyển tiếp,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Trong mục ""Thiết kế điểm chuyển tiếp sang nhân viên""","Luồng một cuộc gọi qua kịch bản với bốn điểm chuyển tiếp sang nhân viên: yêu cầu chủ động, hai lần không hiểu, nằm ngoài phạm vi, và ngoài giờ trực.",Không có dữ liệu thật.,Sơ đồ luồng kịch bản Voicebot với bốn điểm chuyển tiếp sang nhân viên,Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
phan-mem-goi-tu-dong-va-loi-ich-doi-voi-chien-luoc-ban-hang,featured,featured,Ảnh chụp màn hình sản phẩm,PRODUCT_SCREENSHOT_REQUIRED,BLOCKED,NONE,1600×900,"Ảnh đại diện, hiển thị đầu bài",Màn hình danh sách gọi ra trong Gcalls Plus với cột trạng thái từng liên hệ và ô ghi nhận kết quả dạng lựa chọn.,"Che tên, số điện thoại và ghi chú thật của mọi liên hệ; che tên nhân viên và tên tenant. Gắn nhãn ""ảnh minh hoạ"".","Ảnh chụp danh sách gọi ra với cột trạng thái từng liên hệ, dữ liệu khách hàng đã được che","Brief needs an outbound call list with per-contact status and a result picker. The delivered call-history table is a historical log, not a campaign list. Substituting it would invent a feature flow."
phan-mem-goi-tu-dong-va-loi-ich-doi-voi-chien-luoc-ban-hang,inline-1,in-article,Sơ đồ quy trình sáu bước,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Trước mục ""Bốn giới hạn cần biết trước""","Sáu bước tổ chức đợt gọi ra xếp tuyến tính, có nhánh quay lại từ bước chạy thử về bước làm sạch dữ liệu.",Không có dữ liệu thật.,"Sơ đồ sáu bước tổ chức một đợt gọi ra, có nhánh quay lại làm sạch dữ liệu sau khi chạy thử",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
tong-dai-quoc-te-mo-rong-thi-truong,featured,featured,Minh hoạ biên tập,EDITORIAL_ILLUSTRATION_REQUIRED,EDITORIAL_ILLUSTRATION_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Ba giai đoạn mở rộng thị trường xếp theo trục thời gian, với vai trò của hệ thống liên lạc chuyển dần từ chi tiết phụ sang điều kiện bắt buộc, và điểm nguy hiểm được đánh dấu giữa giai đoạn hai và ba.",Không có dữ liệu thật; không nêu tên quốc gia hay khách hàng cụ thể.,Minh hoạ ba giai đoạn mở rộng thị trường quốc tế và vai trò của hệ thống liên lạc ở từng giai đoạn,"Original brand illustration. No stock photography, no unverified figures baked into the image."
tong-dai-tren-trinh-duyet-hoat-dong-the-nao,featured,featured,Ảnh chụp màn hình sản phẩm,PRODUCT_SCREENSHOT_REQUIRED,NEEDS_APPROVAL,gcalls-plus-contact-profile-with-keypad.png -> gcalls-plus-webphone-desktop-v1.webp (masked),1600×900,"Ảnh đại diện, hiển thị đầu bài","Giao diện Gcalls Plus Webphone trong trạng thái đang có cuộc gọi: vùng cuộc gọi, vùng ngữ cảnh khách hàng và ô ghi chú cùng hiển thị trên một màn hình.","Che tên khách hàng, số điện thoại, nội dung ghi chú thật, tên nhân viên và tên tenant. Gắn nhãn ""ảnh minh hoạ"" trên ảnh.","Ảnh chụp giao diện webphone Gcalls Plus với vùng cuộc gọi, ngữ cảnh khách hàng và ô ghi chú, dữ liệu đã được che","Source exists and is masked. Blocked on format, not on data: the capture is 809x429 and the brief demands 1600x900. It must be composed at native size on a 1600x900 brand canvas — upscaling 2x would violate the no-blur rule."
tong-dai-tren-trinh-duyet-hoat-dong-the-nao,inline-1,in-article,Sơ đồ trình tự một ngày làm việc,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Sau mục ""Ba thứ luôn xuất hiện trên màn hình""","Trục thời gian một ngày: nhận ca, kiểm tra thiết bị, xử lý việc tồn, cuộc gọi đến, cuộc gọi ra, ghi nhận, bàn giao. Mỗi mốc gắn với dữ liệu được tạo ra.",Không có dữ liệu thật.,"Sơ đồ trình tự một ngày làm việc trên webphone, từ nhận ca tới bàn giao cuối ngày",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
tong-dai-tren-trinh-duyet-hoat-dong-the-nao,inline-2,in-article,Ảnh chụp màn hình sản phẩm,PRODUCT_SCREENSHOT_REQUIRED,BLOCKED,NONE,1600×900,"Sau bảng ""Ba trường tối thiểu sau mỗi cuộc gọi""",Ô ghi nhận sau cuộc gọi với danh sách kết quả dạng lựa chọn và trường việc cần làm tiếp theo.,Che toàn bộ dữ liệu khách hàng và nội dung ghi chú thật; giữ lại cấu trúc trường.,"Ảnh chụp ô ghi nhận sau cuộc gọi với danh sách kết quả dạng lựa chọn, dữ liệu đã được che","Brief needs the after-call disposition box with an outcome picker and a next-action field. No delivered capture shows that surface. The activity-type dropdown is a feed filter, not a disposition field — using it would misrepresent the feature."
voicebot-ivr-va-tong-dai-tu-dong-khac-nhau-the-nao,featured,featured,Sơ đồ đối chiếu ba mức,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Ba cột tương ứng ba mức, mỗi cột nêu hành động của người gọi và cách hệ thống hiểu yêu cầu. Trục ngang thể hiện mức độ tương tác tăng dần.",Không có dữ liệu thật; không dùng logo bên thứ ba.,"Sơ đồ đối chiếu tổng đài tự động, IVR và Voicebot theo hành động mà người gọi phải thực hiện",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
xay-dung-bo-tieu-chi-danh-gia-chat-luong-cuoc-goi,featured,featured,Sơ đồ cấu trúc bộ tiêu chí,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Cấu trúc phân cấp: nhóm tiêu chí, tiêu chí, mức điểm có mô tả, và trọng số. Nhóm tuân thủ được tách ra khỏi phần tính điểm trung bình.",Không có dữ liệu thật; nhãn là nhãn khái niệm.,"Sơ đồ cấu trúc bộ tiêu chí đánh giá cuộc gọi gồm nhóm tiêu chí, trọng số và mức điểm có mô tả",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
xay-dung-bo-tieu-chi-danh-gia-chat-luong-cuoc-goi,inline-1,in-article,Sơ đồ vòng hiệu chuẩn,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Trong mục ""Bước 4 — Hiệu chuẩn giữa những người chấm""","Vòng lặp hiệu chuẩn: nhiều người chấm độc lập, so sánh kết quả, viết lại tiêu chí có chênh lệch lớn, lặp lại.",Không có dữ liệu thật.,Sơ đồ vòng lặp hiệu chuẩn giữa nhiều người chấm điểm cuộc gọi,Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
