priority,page,route,section,currentVisual,requiredVisual,imageType,source,status,owner,dueDate,approval,replacementRule
P0,QA QC Center,/qc-bot-ai/,Product visual,React mockup,Conversation-analysis result with reviewer confirmation step,Product screenshot,NOT DELIVERED,PRODUCT_SCREENSHOT_REQUIRED,Asher,2026-08-25,PENDING,No QA/QC capture exists. Do not stage a fake scoring screen.
P0,Voicebot AI,/voicebot-ai/,Product visual,Text + diagram only,Scenario/flow visual bounded by the claim guard in src/data/voicebotAi.ts,Diagram (SVG),NEW design,CUSTOM_DIAGRAM_REQUIRED,Design,2026-09-04,PENDING,"Repository holds no Voicebot config or screenshot. Diagram must not imply a shipped screen."
P0,Tổng đài tích hợp CRM,/tong-dai-tich-hop-crm/,Integration visual,React mockup,Connector menu + field mapping,Product screenshot,gcalls-plus-integrations-menu.png + gcalls-plus-integration-config.png,READY_FOR_INTEGRATION,Web,2026-08-25,APPROVED_AFTER_MASKING,Reuse the masked Gcalls Plus captures. No CRM vendor UI.
P0,Tổng đài tích hợp Helpdesk,/tong-dai-tich-hop-helpdesk/,Integration visual,React mockup,Ticket-side data boundary,Diagram (SVG),NEW design,CUSTOM_DIAGRAM_REQUIRED,Design,2026-09-04,PENDING,Helpdesk product UI is not ours to depict.
P0,Blog archive,/blog/,Archive cards,No featured images — cards are text-only,18 featured images at 1600x900,Featured image,NEW design per HUB,EDITORIAL_ILLUSTRATION_REQUIRED,Design,2026-09-04,PENDING,"Cards must degrade cleanly with no image. Never ship a placeholder as if it were the final asset."
P0,Blog article (pillar HUB-01),/blog/dich-vu-call-center-la-gi-va-doanh-nghiep-nao-thuc-su-can/,Featured,None,Three-layer call-centre concept diagram,Diagram (SVG),NEW design,CUSTOM_DIAGRAM_REQUIRED,Design,2026-09-04,PENDING,Labels must match the article's own three layers. No invented feature flow.
P0,Blog article (HUB-02),/blog/tong-dai-tren-trinh-duyet-hoat-dong-the-nao/,Featured,None,Webphone mid-call: call area + customer context + note box,Product screenshot,gcalls-plus-contact-profile-with-keypad.png,NEEDS_APPROVAL,Design,2026-09-04,PENDING,"Capture is 809x429; the brief demands 1600x900. Compose the masked capture at native size on a 1600x900 brand canvas. Upscaling to 1600 wide is forbidden."
P0,Blog article (HUB-09),/blog/ho-so-dang-ky-dau-so-quoc-te/,Featured,None,Document-preparation process diagram,Diagram (SVG),NEW design,CUSTOM_DIAGRAM_REQUIRED,Design,2026-09-04,PENDING,Steps must match the article body exactly.
P1,Blog Batch 1 — 18 featured images,/blog/*,Featured,None,"1600x900, 16:9, one per article, visually distinct per HUB",Featured image,"13 diagram / 3 illustration / 2 product screenshot",MIXED — see docs/content-review/images/blog-image-status.csv,Design,2026-09-04,PENDING,"No long text baked into the image. No unverified figures. No competitor logos."
P1,Blog Batch 1 — 12 in-article visuals,/blog/*,In-article,None,Process and comparison diagrams,Diagram (SVG),NEW design,CUSTOM_DIAGRAM_REQUIRED,Design,2026-09-04,PENDING,SVG for anything showing a sequence or architecture. No AI-generated information graphics.
P1,Gcalls Plus Webphone,/gcalls-plus-webphone/,08 Quy trình làm việc,React mockup,Advanced filter dialog / activity-type selector,Product screenshot,gcalls-plus-advanced-filter-modal.png + gcalls-plus-activity-type-dropdown.png,READY_FOR_INTEGRATION,Web,2026-09-04,APPROVED_AFTER_MASKING,Masked files already produced; integrate when the section copy is final.
P1,Bảng giá,/bang-gia/,Plan comparison,Text table,No image required,—,—,READY_FOR_INTEGRATION,Web,2026-09-04,N/A,Never replace a price table with an image.
P1,Ước tính chi phí,/uoc-tinh-chi-phi/,Estimator,Live React estimator,No image required,—,—,READY_FOR_INTEGRATION,Web,2026-09-04,N/A,The estimator stays interactive. No screenshot substitute.
P1,Tổng đài quốc tế,/tong-dai-quoc-te/,Coverage visual,Text + list,Route/coverage diagram,Diagram (SVG),NEW design,CUSTOM_DIAGRAM_REQUIRED,Design,2026-09-04,PENDING,No country claims beyond the approved list.
P1,Tổng đài tích hợp POS,/tong-dai-tich-hop-pos/,Integration visual,Text,Order-to-call flow,Diagram (SVG),NEW design,CUSTOM_DIAGRAM_REQUIRED,Design,2026-09-04,PENDING,No POS vendor UI.
P1,Ngành — 6 trang,/nganh/*,Industry visual,Text + icons,One illustration per industry,Editorial illustration,NEW design,EDITORIAL_ILLUSTRATION_REQUIRED,Design,2026-09-04,PENDING,"Generic stock photography is not acceptable; must read as the Gcalls system."
P1,Tích hợp — 5 trang,/tich-hop/*,Connector visual,Text,Gcalls-side connector configuration,Product screenshot,gcalls-plus-integration-config.png,READY_FOR_INTEGRATION,Web,2026-09-04,APPROVED_AFTER_MASKING,Gcalls-side surface only. Partner logos only where licensing permits.
P2,Sản phẩm hub,/san-pham/,Product cards,Text + icons,Thumbnail per product,Product screenshot,Derived crops of approved captures,READY_FOR_INTEGRATION,Web,2026-10-02,APPROVED_AFTER_MASKING,Crops inherit the source approval; a crop may never reveal a region that was masked.
P2,Giải pháp hub,/giai-phap/,Solution cards,Text + icons,Thumbnail per solution,Editorial illustration,NEW design,EDITORIAL_ILLUSTRATION_REQUIRED,Design,2026-10-02,PENDING,Decorative only — alt="".
P2,Tài nguyên,/tai-nguyen/ and children,Resource cards,Text,Cover art per resource type,Editorial illustration,NEW design,EDITORIAL_ILLUSTRATION_REQUIRED,Design,2026-10-02,PENDING,Decorative only — alt="".
P2,Công ty,/cong-ty/ and children,Team / customers / partners,Text + logos,Team photography and customer logos,Photography / logo,NEW — requires written consent,BLOCKED,Company,2026-10-02,PENDING,"Customer logos need written permission. Employee photographs need consent. Neither is assumed."
P2,Liên hệ,/lien-he/,Form,Live form,No image required,—,—,READY_FOR_INTEGRATION,Web,2026-10-02,N/A,Never replace form fields with an image.
P2,Referral,/referral/,Programme visual,Text,Referral flow,Diagram (SVG),NEW design,CUSTOM_DIAGRAM_REQUIRED,Design,2026-10-02,PENDING,Payout figures only if approved.
P2,Gcalls Plus Webphone,/gcalls-plus-webphone/,Vận hành / trạng thái nhân viên,None,Agent presence timeline,Product screenshot,gcalls-plus-agent-status-log.png,READY_FOR_INTEGRATION,Web,2026-10-02,APPROVED_AFTER_MASKING,Employee names stay masked in every future capture.
P2,Gcalls Plus Webphone,/gcalls-plus-webphone/,Click-to-call,None,Click-to-call button configuration,Product screenshot,gcalls-plus-click-to-call-config.png,READY_FOR_INTEGRATION,Web,2026-10-02,APPROVED_AFTER_MASKING,Configuration IDs and receiving numbers stay masked.
P2,Gcalls Plus Webphone,/gcalls-plus-webphone/,Tổng quan,None,Activity console empty state,Product screenshot,gcalls-plus-overview-activity.png,READY_FOR_INTEGRATION,Web,2026-10-02,APPROVED_AFTER_MASKING,Contact group names stay masked.
P2,Toàn site,*,Agent performance,React AnalyticsDashboardMockup,Per-agent productivity table,Product screenshot,gcalls-plus-agent-performance.png,NEEDS_APPROVAL,Asher,2026-10-02,BLOCKED,"Real employee roster and productivity figures. Requires a seeded demo tenant, not masking."
