sourceId,oldUrl,demoUrl,hub,hubPage,priority,wordCount,existingDecision,result,proposedAction,conflict,evidence,title
14522,https://gcalls.co/acd-la-gi-ung-dung-thuc-te-cua-acd-vao-call-center/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1306,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,ACD Là Gì? Ứng Dụng Thực Tế Của ACD Vào Call Center
14536,https://gcalls.co/dich-vu-tong-dai-ao-13-tinh-nang-noi-bat/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1162,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Dịch Vụ Tổng Đài Ảo - 13 Tính Năng Nổi Bật
14560,https://gcalls.co/so-tong-dai-1800-la-gi-huong-dan-dang-ky-dau-so-1800-don-gian/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1109,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Số Tổng Đài 1800 Là Gì? Hướng Dẫn Đăng Ký Đầu Số 1800 Đơn Giản
14568,https://gcalls.co/giai-dap-thong-tin-ve-voip-va-ung-dung-thuc-te/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1091,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Giải Đáp Thông Tin Về VoIP Và Ứng Dụng Thực Tế
14607,https://gcalls.co/mau-loi-chao-tong-dai-dien-thoai-pho-bien-hien-nay/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1160,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Mẫu Lời Chào Tổng Đài Điện Thoại Phổ Biến Hiện Nay
14890,https://gcalls.co/he-thong-tong-dai-dien-thoai-chuan-la-nhu-the-nao/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1048,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Hệ Thống Tổng Đài Điện Thoại Chuẩn Là Như Thế Nào?
15008,https://gcalls.co/tong-dai-ip-va-nhung-khac-biet-so-voi-tong-dai-analog/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1199,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Tổng Đài IP Và Những Khác Biệt So Với Tổng Đài Analog 
15250,https://gcalls.co/tong-dai-contact-center-la-gi/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1106,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Tổng Đài Contact Center Là Gì?
15262,https://gcalls.co/phan-mem-tong-dai-ao-la-gi/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1059,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Phần Mềm Tổng Đài Ảo Là Gì?
15281,https://gcalls.co/mua-so-tong-dai-1900-co-loi-ich-gi-nen-mua-o-dau-uy-tin/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1094,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Mua Số Tổng Đài 1900 Có Lợi Ích Gì? Nên Mua Ở Đâu Uy Tín?
15738,https://gcalls.co/tai-sao-dich-vu-tong-dai-ao-danh-cho-startup-bung-no-2023/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1826,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,"Tại Sao Dịch Vụ Tổng Đài Ảo Dành Cho Startup ""Bùng Nổ"" 2023?"
15806,https://gcalls.co/giai-phap-tong-dai-ao-cho-doanh-nghiep-vua-va-nho/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1137,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Giải Pháp Tổng Đài Ảo Cho Doanh Nghiệp Vừa Và Nhỏ
15859,https://gcalls.co/tong-dai-ip-va-nhung-dieu-can-biet/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1422,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Tổng Đài IP Và Những Điều Cần Biết Trước Khi Lắp Đặt 
15884,https://gcalls.co/dich-vu-tong-dai-dam-may-cho-start-up/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1282,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Dịch Vụ Tổng Đài Đám Mây Cho Start-Up
16018,https://gcalls.co/dang-ky-tong-dai-ao-giai-phap-cham-soc-khach-hang-hieu-qua/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1488,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Đăng Ký Tổng Đài Ảo: Giải Pháp Chăm Sóc Khách Hàng Hiệu Quả
2784,https://gcalls.co/loi-ich-ma-giai-phap-tich-hop-dien-thoai-may-tinh-dem-den-cho-call-center/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,2915,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,18 lợi ích mà giải pháp tích hợp điện thoại máy tính đem đến cho Call Center
2811,https://gcalls.co/call-center-diem-khac-biet-giua-on-premises-va-cloud-call-center-phan-cuoi/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,2339,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần cuối)
588,https://gcalls.co/call-center-la-mot-trai-nghiem-thuong-hieu-trong-nganh-dich-vu-suc-khoe/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,6966,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,"Tổng Đài Call Center Và Những Kiến Thức ""Cứu Sống"" Doanh Nghiệp"
603,https://gcalls.co/10-thong-ke-ve-he-thong-voip-chung-minh-tam-quan-trong-cua-cong-nghe/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1860,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,10 Thống kê về hệ thống VoIP chứng minh tầm quan trọng của công nghệ
654,https://gcalls.co/5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-cuoi/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1721,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần cuối)
669,https://gcalls.co/5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-1/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1326,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần 1)
15314,https://gcalls.co/salesforce-la-gi-nhung-thong-tin-quan-trong-nhat/,,HUB-03,/tong-dai-tich-hop-crm/ ; /tong-dai-tich-hop-helpdesk/,P0,1123,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Salesforce Là Gì? Những Thông Tin Quan Trọng Nhất
15335,https://gcalls.co/phan-mem-crm-viet-nam-la-gi/,,HUB-03,/tong-dai-tich-hop-crm/ ; /tong-dai-tich-hop-helpdesk/,P0,1121,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Phần Mềm CRM Việt Nam Là Gì?
15363,https://gcalls.co/vi-sao-chien-luoc-cham-soc-khach-hang-voi-salesforce-can-thiet/,,HUB-03,/tong-dai-tich-hop-crm/ ; /tong-dai-tich-hop-helpdesk/,P0,1083,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Vì Sao Chiến Lược Chăm Sóc Khách Hàng Với SalesForce Cần Thiết
15380,https://gcalls.co/so-sanh-salesforce-crm-va-cac-phan-mem-khac/,,HUB-03,/tong-dai-tich-hop-crm/ ; /tong-dai-tich-hop-helpdesk/,P0,1175,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,So Sánh Salesforce CRM Và Các Phần Mềm Khác
15384,https://gcalls.co/salesforce-marketing-cloud-la-gi-tim-hieu-thong-tin-tu-a-z/,,HUB-03,/tong-dai-tich-hop-crm/ ; /tong-dai-tich-hop-helpdesk/,P0,1200,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Salesforce Marketing Cloud Là Gì? Tìm Hiểu Thông Tin Từ A-Z
553,https://gcalls.co/gcalls-va-ban-doi-tac-gioi-thieu-khach-hang/,,HUB-03,/tong-dai-tich-hop-crm/ ; /tong-dai-tich-hop-helpdesk/,P0,1526,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,"Gcalls và bạn - đối tác giới thiệu khách hàng - Cùng hợp tác, cùng có lợi"
16324,https://gcalls.co/tu-ghi-am-cuoc-goi-va-cach-huong-dan-cai/,,HUB-07,/qc-bot-ai/,P0,1501,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Tự Ghi Âm Cuộc Gọi Và Cách Hướng Dẫn Cài
12770,https://gcalls.co/shopee-template-va-cach-thiet-ke-chi-tiet-tren-canva/,,HUB-08,/voicebot-ai/ ; /qc-bot-ai/,P0,1468,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Shopee Template Và Cách Thiết Kế Chi Tiết Trên Canva
14292,https://gcalls.co/marketing-automation-la-gi-nhung-thong-tin-can-biet/,,HUB-08,/voicebot-ai/ ; /qc-bot-ai/,P0,1029,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Marketing Automation Là Gì? Những Thông Tin Cần Biết
16271,https://gcalls.co/nha-dau-tu-thien-than-cuu-tinh-cua-start-up/,,HUB-08,/voicebot-ai/ ; /qc-bot-ai/,P0,1821,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Nhà Đầu Tư Thiên Thần - Cứu Tinh Của Start Up
1967,https://gcalls.co/chien-luoc-mo-rong-ra-thi-truong-nuoc-ngoai-va-phuc-vu-khach-hang-quoc-te/,,HUB-09,/tong-dai-quoc-te/,P0,3234,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Chiến lược mở rộng ra thị trường nước quốc tế
1071,https://gcalls.co/cach-tao-ho-so-khach-hang-ly-tuong-cho-nhom-khach-hang-tiem-nang-b2b/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,2383,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Cách tạo hồ sơ khách hàng lý tưởng cho nhóm khách hàng tiềm năng B2B
10733,https://gcalls.co/cuoc-goi-tiep-thi-qua-dien-thoai-la-gi/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,1377,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Cuộc gọi tiếp thị qua điện thoại là gì và cách thực hiện cuộc gọi hiệu quả?
10734,https://gcalls.co/cach-tiep-thi-qua-dien-thoai-hieu-qua-xu-ly-3-loi-tu-choi-cuoc-goi-chao-hang/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,933,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Cách tiếp thị qua điện thoại hiệu quả xử lý 3 lời từ chối cuộc gọi chào hàng
10740,https://gcalls.co/bo-cau-hoi-phong-van-chuyen-vien-telemarketing-va-telesales/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,1081,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Bộ câu hỏi phỏng vấn chuyên viên Telemarketing và Telesales
10745,https://gcalls.co/xay-dung-chien-luoc-email-follow-up-giup-ban-hang-hieu-qua-phan-1/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,1195,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Xây dựng chiến lược email follow-up giúp bán hàng hiệu quả (Phần 1)
10746,https://gcalls.co/xay-dung-chien-luoc-email-follow-up-phan-cuoi/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,1578,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Xây dựng chiến lược email follow-up giúp bán hàng hiệu quả (Phần cuối)
10747,https://gcalls.co/7-buoc-lap-ke-hoach-telesales-hieu-qua/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,2593,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,7 bước lập kế hoạch telesales hiệu quả
10748,https://gcalls.co/5-dieu-ve-trai-nghiem-khach-hang-moi-nhan-vien-ban-hang-nen-biet/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,1365,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,5 điều về trải nghiệm khách hàng mà mọi nhân viên bán hàng nên biết
10750,https://gcalls.co/cach-ban-hang-hieu-qua-bang-giong-noi/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,1931,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Cách bán hàng hiệu quả bằng giọng nói
10751,https://gcalls.co/5-buoc-de-thiet-ke-mot-kich-ban-ban-hang-thanh-cong/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,1300,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,5 bước để thiết kế một kịch bản bán hàng thành công
10752,https://gcalls.co/dung-bao-gia-giai-phap-truoc-khi-truyen-tai-duoc-gia-tri-den-khach-hang/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,1472,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Đừng báo giá giải pháp trước khi truyền tải được giá trị đến khách hàng
10753,https://gcalls.co/mau-bang-danh-gia-nhan-vien-ban-hang/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,2595,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Mẫu bảng đánh giá nhân viên bán hàng mới nhất
10754,https://gcalls.co/8-buoc-quan-trong-de-thuc-hien-cuoc-hop-danh-gia-ban-hang-hang-nam/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,2263,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Cuộc họp đánh giá bán hàng hàng năm: 8 bước để thực hiện hiệu quả
10756,https://gcalls.co/telesales-va-telemarketing/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,1250,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Sales: Telesales và Telemarketing
1082,https://gcalls.co/top-10-phan-mem-theo-doi-ban-hang-hang-dau-danh-cho-doanh-nghiep/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,2965,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,TOP 10 phần mềm theo dõi bán hàng hàng đầu dành cho doanh nghiệp
1102,https://gcalls.co/5-chi-so-do-luong-hieu-suat-ban-hang-quan-trong-nen-theo-doi/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,2094,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,5 chỉ số đo lường hiệu suất bán hàng quan trọng mà quản lý nên theo dõi
1113,https://gcalls.co/9-meo-cold-calling-danh-cho-nhan-vien-ban-hang-phan-1/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,2421,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần 1)
1134,https://gcalls.co/9-meo-cold-calling-danh-cho-nhan-vien-ban-hang-phan-cuoi/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,2903,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần cuối)
1157,https://gcalls.co/cac-phan-mem-call-center-phu-hop-voi-cac-tong-dai-doanh-nghiep-hien-nay/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,5614,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Phần Mềm Contact Center - Giải Pháp Tổng Đài Chuyên Nghiệp 2023
1187,https://gcalls.co/ban-hang-inbound-hay-ban-hang-outbound-phan-1/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,2867,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 1)
1198,https://gcalls.co/ban-hang-inbound-hay-ban-hang-outbound-phan-2/,,HUB-04,/gcalls-plus-webphone/ ; /tong-dai-tich-hop-crm/,P1,4370,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 2)
