Legacy Post ID,New Title,HUB,Image Classification,What it must show,Aspect Ratio,Dimensions,Image Source,Data to mask,Planned Alt Text,Used on,Reusable
872,Công nghệ đang thay đổi cách mọi người làm việc từ xa như thế nào?,HUB-10,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa cloud call center và làm việc từ xa — Công nghệ đang thay đổi cách mọi người làm việc từ xa như th,Featured + 1-3 in-article,YES within hub
884,Tiếp thị qua điện thoại: 13 mẹo chinh phục khách hàng,HUB-11,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa vận hành doanh nghiệp — Tiếp thị qua điện thoại: 13 mẹo chinh phục khách hàng,Featured + 1-3 in-article,NO — article-specific
897,10 công nghệ mà bạn phải có để có thể xây dựng Team làm việc từ xa hiệu quả,HUB-10,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa cloud call center và làm việc từ xa — 10 công nghệ mà bạn phải có để có thể xây dựng Team làm việc,Featured + 1-3 in-article,YES within hub
1071,Cách tạo hồ sơ khách hàng lý tưởng cho nhóm khách hàng tiềm năng B2B,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Cách tạo hồ sơ khách hàng lý tưởng cho nhóm khách hàng tiềm ,Featured + 1-3 in-article,NO — article-specific
1082,TOP 10 phần mềm theo dõi bán hàng hàng đầu dành cho doanh nghiệp,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — TOP 10 phần mềm theo dõi bán hàng hàng đầu dành cho doanh ng,Featured + 1-3 in-article,NO — article-specific
1102,5 chỉ số đo lường hiệu suất bán hàng quan trọng mà quản lý nên theo dõi,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — 5 chỉ số đo lường hiệu suất bán hàng quan trọng mà quản lý n,Featured + 1-3 in-article,NO — article-specific
1113,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần 1),HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — 9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần 1),Featured + 1-3 in-article,NO — article-specific
1134,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần cuối),HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — 9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần cuối),Featured + 1-3 in-article,NO — article-specific
1157,Phần Mềm Contact Center - Giải Pháp Tổng Đài Chuyên Nghiệp 2023,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Phần Mềm Contact Center - Giải Pháp Tổng Đài Chuyên Nghiệp 2,Featured + 1-3 in-article,NO — article-specific
1187,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 1),HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nê,Featured + 1-3 in-article,NO — article-specific
1198,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 2),HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nê,Featured + 1-3 in-article,NO — article-specific
1219,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 3),HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nê,Featured + 1-3 in-article,NO — article-specific
1231,Tương lai của tổng đài doanh nghiệp: 10 xu hướng nổi bật nhất,HUB-01,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa tổng đài và call center — Tương lai của tổng đài doanh nghiệp: 10 xu hướng nổi bật nhấ,Featured + 1-3 in-article,YES within hub
1296,Bí quyết telesales: Nên hay không sử dụng kịch bản cuộc gọi bán hàng?,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Bí quyết telesales: Nên hay không sử dụng kịch bản cuộc gọi ,Featured + 1-3 in-article,NO — article-specific
1314,Telesales: Cách tập trung khi gọi điện bán hàng,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Telesales: Cách tập trung khi gọi điện bán hàng,Featured + 1-3 in-article,NO — article-specific
1324,Thế nào là telesales thành công và cách đánh giá cuộc gọi bán hàng?,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Thế nào là telesales thành công và cách đánh giá cuộc gọi bá,Featured + 1-3 in-article,NO — article-specific
1351,6 cách nhắn tin cho khách hàng đạt hiệu quả trong quy trình bán hàng,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — 6 cách nhắn tin cho khách hàng đạt hiệu quả trong quy trình ,Featured + 1-3 in-article,NO — article-specific
1368,Phần mềm gọi tự động và lợi ích đối với chiến lược bán hàng,HUB-02,PRODUCT_SCREENSHOT_REQUIRED,"Gcalls UI showing the exact feature discussed, captured fresh from a demo tenant",16:9,1600x900,NEW capture from Gcalls demo tenant,"Customer names, phone numbers, recordings, agent identities, tenant name — replace with illustrative data and label as such",Minh họa gcalls plus webphone — Phần mềm gọi tự động và lợi ích đối với chiến lược bán hàng,Featured + 1-3 in-article,NO — article-specific
1381,6 bước xây dựng kịch bản bán hàng đỉnh cao,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — 6 bước xây dựng kịch bản bán hàng đỉnh cao,Featured + 1-3 in-article,NO — article-specific
1396,Cách gọi điện thoại cho khách hàng tiềm năng đã mở email,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Cách gọi điện thoại cho khách hàng tiềm năng đã mở email,Featured + 1-3 in-article,NO — article-specific
1420,Cách giảm áp lực khi làm telesales,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Cách giảm áp lực khi làm telesales,Featured + 1-3 in-article,NO — article-specific
1427,Các chỉ số đánh giá phễu bán hàng hiệu quả,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Các chỉ số đánh giá phễu bán hàng hiệu quả,Featured + 1-3 in-article,NO — article-specific
1440,Tiếp thị qua điện thoại: Hướng dẫn nhanh Cold Calling chuyên nghiệp,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Tiếp thị qua điện thoại: Hướng dẫn nhanh Cold Calling chuyên,Featured + 1-3 in-article,NO — article-specific
1454,Hướng dẫn nhân viên bán hàng SaaS xử lý từ chối giao dịch (Phần 1),HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Hướng dẫn nhân viên bán hàng SaaS xử lý từ chối giao dịch (P,Featured + 1-3 in-article,NO — article-specific
1496,Hướng dẫn nhân viên bán hàng SaaS xử lý từ chối giao dịch (Phần cuối),HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Hướng dẫn nhân viên bán hàng SaaS xử lý từ chối giao dịch (P,Featured + 1-3 in-article,NO — article-specific
1529,Tiêu chí đánh giá hiệu quả bán hàng,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Tiêu chí đánh giá hiệu quả bán hàng,Featured + 1-3 in-article,NO — article-specific
1541,Các bước tổ chức một cuộc họp khách hàng chuyên nghiệp,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Các bước tổ chức một cuộc họp khách hàng chuyên nghiệp,Featured + 1-3 in-article,NO — article-specific
1560,Tiếp thị qua điện thoại: Kỹ năng xử lý từ chối giúp tăng cơ hội bán hàng,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Tiếp thị qua điện thoại: Kỹ năng xử lý từ chối giúp tăng cơ ,Featured + 1-3 in-article,NO — article-specific
1591,Giọng nói: Yếu tố quyết định thành công trong tiếp thị qua điện thoại,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Giọng nói: Yếu tố quyết định thành công trong tiếp thị qua đ,Featured + 1-3 in-article,NO — article-specific
1617,Ebook: Hướng dẫn các bước xử lý tình huống khách hàng phàn nàn,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Ebook: Hướng dẫn các bước xử lý tình huống khách hàng phàn n,Featured + 1-3 in-article,NO — article-specific
1705,Cách viết bản tự đánh giá công việc của nhân viên đầy đủ và ấn tượng,HUB-11,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa vận hành doanh nghiệp — Cách viết bản tự đánh giá công việc của nhân viên đầy đủ và ,Featured + 1-3 in-article,NO — article-specific
1805,Bán hàng qua điện thoại: 3 câu hỏi bạn nên tự hỏi bản thân trước khi thực hiện cuộc gọi,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Bán hàng qua điện thoại: 3 câu hỏi bạn nên tự hỏi bản thân t,Featured + 1-3 in-article,NO — article-specific
1817,Cách chiếm được lòng tin của khách hàng kín tiếng,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Cách chiếm được lòng tin của khách hàng kín tiếng,Featured + 1-3 in-article,NO — article-specific
1828,Cải thiện trải nghiệm khách hàng tại Call Center bằng biểu mẫu chấm điểm đánh giá cuộc gọi,HUB-07,PRODUCT_SCREENSHOT_REQUIRED,"Gcalls UI showing the exact feature discussed, captured fresh from a demo tenant",16:9,1600x900,NEW capture from Gcalls demo tenant,"Customer names, phone numbers, recordings, agent identities, tenant name — replace with illustrative data and label as such",Minh họa qa/qc và quản trị chất lượng — Cải thiện trải nghiệm khách hàng tại Call Center bằng biểu m,Featured + 1-3 in-article,NO — article-specific
1967,Chiến lược mở rộng ra thị trường nước quốc tế,HUB-09,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa tổng đài quốc tế — Chiến lược mở rộng ra thị trường nước quốc tế,Featured + 1-3 in-article,YES within hub
1968,Tổng đài quốc tế: Mở rộng thị trường dễ dàng với phần mềm Call Center kết nối số nước ngoài,HUB-01,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa tổng đài và call center — Tổng đài quốc tế: Mở rộng thị trường dễ dàng với phần mềm Ca,Featured + 1-3 in-article,YES within hub
2244,Làm gì để mở rộng đội ngũ hỗ trợ khách hàng mà không hi sinh chất lượng dịch vụ?,HUB-07,PRODUCT_SCREENSHOT_REQUIRED,"Gcalls UI showing the exact feature discussed, captured fresh from a demo tenant",16:9,1600x900,NEW capture from Gcalls demo tenant,"Customer names, phone numbers, recordings, agent identities, tenant name — replace with illustrative data and label as such",Minh họa qa/qc và quản trị chất lượng — Làm gì để mở rộng đội ngũ hỗ trợ khách hàng mà không hi sinh,Featured + 1-3 in-article,NO — article-specific
2261,Cách tính giá trị vòng đời khách hàng CLV của doanh nghiệp,HUB-11,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa vận hành doanh nghiệp — Cách tính giá trị vòng đời khách hàng CLV của doanh nghiệp,Featured + 1-3 in-article,NO — article-specific
2400,Hướng dẫn đo lường kết quả khảo sát sự hài lòng của khách hàng,HUB-05,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa customer service và customer experience — Hướng dẫn đo lường kết quả khảo sát sự hài lòng của khách hà,Featured + 1-3 in-article,NO — article-specific
2437,16 công cụ tạo phiếu yêu cầu hỗ trợ ticket cho bộ phận Dịch vụ khách hàng,HUB-03,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,"Minh họa crm, helpdesk và tích hợp — 16 công cụ tạo phiếu yêu cầu hỗ trợ ticket cho bộ phận Dịch ",Featured + 1-3 in-article,YES within hub
2449,Hướng dẫn tính toán và cải thiện chỉ số CAC cho doanh nghiệp năm 2022,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Hướng dẫn tính toán và cải thiện chỉ số CAC cho doanh nghiệp,Featured + 1-3 in-article,NO — article-specific
2472,Chỉ số CES là gì và khi nào nên sử dụng khảo sát CES?,HUB-05,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa customer service và customer experience — Chỉ số CES là gì và khi nào nên sử dụng khảo sát CES?,Featured + 1-3 in-article,NO — article-specific
2486,Chỉ số NPS là gì và tại sao nó lại quan trọng đối với doanh nghiệp?,HUB-05,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa customer service và customer experience — Chỉ số NPS là gì và tại sao nó lại quan trọng đối với doanh ,Featured + 1-3 in-article,NO — article-specific
2495,19 ví dụ về khảo sát sự hài lòng của khách hàng và các khảo sát mẫu,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — 19 ví dụ về khảo sát sự hài lòng của khách hàng và các khảo ,Featured + 1-3 in-article,NO — article-specific
2539,Chỉ số CSAT là gì và cách đo lường chỉ số này trong dịch vụ khách hàng?,HUB-05,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa customer service và customer experience — Chỉ số CSAT là gì và cách đo lường chỉ số này trong dịch vụ ,Featured + 1-3 in-article,NO — article-specific
2584,Phần mềm Getfly: Tính năng và ứng dụng của phần mềm CRM “gốc Việt”,HUB-03,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,"Minh họa crm, helpdesk và tích hợp — Phần mềm Getfly: Tính năng và ứng dụng của phần mềm CRM “gốc",Featured + 1-3 in-article,YES within hub
2621,Ưu và nhược điểm của các giải pháp trong  phần mềm CRM HubSpot,HUB-03,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,"Minh họa crm, helpdesk và tích hợp — Ưu và nhược điểm của các giải pháp trong  phần mềm CRM HubSp",Featured + 1-3 in-article,YES within hub
2641,Phần mềm Bitrix24 - Các tính năng nổi bật và lý do nên lựa chọn Bitrix24,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Phần mềm Bitrix24 - Các tính năng nổi bật và lý do nên lựa c,Featured + 1-3 in-article,NO — article-specific
2665,Chiến lược khách hàng trung tâm (Customer-Centric) cho doanh nghiệp,HUB-11,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa vận hành doanh nghiệp — Chiến lược khách hàng trung tâm (Customer-Centric) cho doanh,Featured + 1-3 in-article,NO — article-specific
2684,Đội ngũ bán hàng nên quay lại văn phòng hay làm việc từ xa sau đại dịch?,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Đội ngũ bán hàng nên quay lại văn phòng hay làm việc từ xa s,Featured + 1-3 in-article,NO — article-specific
2695,10 điều không nên nói trong một cuộc gọi chăm sóc khách hàng,HUB-05,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa customer service và customer experience — 10 điều không nên nói trong một cuộc gọi chăm sóc khách hàng,Featured + 1-3 in-article,NO — article-specific
2738,Tại sao phàn nàn của khách hàng lại có ích cho doanh nghiệp của bạn?,HUB-11,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa vận hành doanh nghiệp — Tại sao phàn nàn của khách hàng lại có ích cho doanh nghiệp ,Featured + 1-3 in-article,NO — article-specific
2752,Khách hàng tự phục vụ và ví dụ về các cổng thông tin tự phục vụ tốt nhất,HUB-05,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa customer service và customer experience — Khách hàng tự phục vụ và ví dụ về các cổng thông tin tự phục,Featured + 1-3 in-article,NO — article-specific
2761,Làm thế nào để kết nối 2 bộ phận bán hàng và dịch vụ khách hàng?,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Làm thế nào để kết nối 2 bộ phận bán hàng và dịch vụ khách h,Featured + 1-3 in-article,NO — article-specific
2768,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần 1),HUB-01,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa tổng đài và call center — Call Center: Điểm khác biệt giữa On-Premises và Cloud Call C,Featured + 1-3 in-article,YES within hub
2784,18 lợi ích mà giải pháp tích hợp điện thoại máy tính đem đến cho Call Center,HUB-01,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa tổng đài và call center — 18 lợi ích mà giải pháp tích hợp điện thoại máy tính đem đến,Featured + 1-3 in-article,YES within hub
2811,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần cuối),HUB-01,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa tổng đài và call center — Call Center: Điểm khác biệt giữa On-Premises và Cloud Call C,Featured + 1-3 in-article,YES within hub
2819,"Ưu, nhược điểm của phần mềm quản lý quan hệ khách hàng Zoho CRM",HUB-03,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,"Minh họa crm, helpdesk và tích hợp — Ưu, nhược điểm của phần mềm quản lý quan hệ khách hàng Zoho ",Featured + 1-3 in-article,YES within hub
