ID,Post ID,Title,Slug,Route,Status,Category,Content Pillar,Search Intent,Primary Keyword,Secondary Keywords,Target Persona,Current Word Count,Target Word Count,Content Quality,SEO Title,Meta Description,H1 Count,Internal Links In,Internal Links Out,Product CTA,Image Status,Claim Risk,Action,Final Status
BLOG-011,669,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần 1),5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-1,/5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-1/,PUBLISH,Bán hàng|Chăm sóc khách hàng|Quản Lý|Sản phẩm|Telesales,HUB-01 Tổng đài và Call Center,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1326,1200-2000,ADEQUATE,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần 1),"Có rất nhiều lợi ích khi việc sử dụng Báo cáo tổng đài Call Center. Trong bài viết này, chúng tôi sẽ đề cập 5 lợi ích chính của báo cáo này.",0,0,1,Cloud Call Center|Gcalls Plus Webphone,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-012,676,Làm thế nào để mở rộng một nhóm bán hàng toàn cầu?,lam-the-nao-de-mo-rong-mot-nhom-ban-hang-toan-cau,/lam-the-nao-de-mo-rong-mot-nhom-ban-hang-toan-cau/,PUBLISH,Bán hàng,HUB-03 Telesales và Sales Operations,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,972,900-1200,ADEQUATE_SHORT,Làm thế nào để mở rộng một nhóm bán hàng toàn cầu?,Bài viết là những chia sẻ của Jeffrey Serlin và Collin Stewart về những gì học được khi mở rộng quy mô nhóm bán hàng toàn cầu.,0,0,1,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-013,684,Goals (Mục đích) vs Objectives (Mục tiêu): phân biệt đơn giản,goals-muc-dich-vs-objectives-muc-tieu-phan-biet-don-gian,/goals-muc-dich-vs-objectives-muc-tieu-phan-biet-don-gian/,PUBLISH,Quản Lý,HUB-08 Kiến thức vận hành doanh nghiệp,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1376,1200-2000,ADEQUATE,Goals (Mục đích) vs Objectives (Mục tiêu): phân biệt đơn giản,"'Mục đích' và 'Mục tiêu' tưởng chừng có thể hoán đổi cho nhau, nhưng khi được sử dụng trong bối cảnh tiếp thị thì lại rất dễ bị hiểu sai.",0,0,1,Gcalls Plus Webphone,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-014,694,"Tại sao không ""tùy ý"" đưa ý kiến trong content marketing",tai-sao-khong-tuy-y-dua-y-kien-trong-content-marketing,/tai-sao-khong-tuy-y-dua-y-kien-trong-content-marketing/,PUBLISH,Marketing + Branding,HUB-08 Kiến thức vận hành doanh nghiệp,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1320,1200-2000,ADEQUATE,"Tại sao không ""tùy ý"" đưa ý kiến trong content marketing","Ý kiến là một cái gì đó mà người khác có thể không đồng ý. Vì vậy, hãy tự hỏi liệu có ai không đồng ý với những gì bạn nói ra hay không?",0,0,1,Gcalls Plus Webphone,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-015,826,Cách mạng Công nghiệp 4.0 và lợi ích đối với doanh nghiệp,cach-mang-cong-nghiep-4-0-va-loi-ich-doi-voi-doanh-nghiep,/cach-mang-cong-nghiep-4-0-va-loi-ich-doi-voi-doanh-nghiep/,PUBLISH,Kiến thức,HUB-08 Kiến thức vận hành doanh nghiệp,informational-howto,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1626,1200-2000,ADEQUATE,Cách mạng Công nghiệp 4.0 và lợi ích đối với doanh nghiệp,Cách mạng Công nghiệp 4.0 là quá trình tự động hóa các hoạt động sản xuất truyền thống và được dự báo sẽ làm thay đổi toàn bộ thế giới.,0,0,1,Gcalls Plus Webphone,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-016,861,11 chỉ số đánh giá quan trọng đối với bộ phận Chăm Sóc Khách Hàng,11-chi-so-danh-gia-quan-trong-doi-voi-bo-phan-cham-soc-khach-hang,/11-chi-so-danh-gia-quan-trong-doi-voi-bo-phan-cham-soc-khach-hang/,PUBLISH,Chăm sóc khách hàng|Kiến thức|Nổi bật,HUB-04 Customer Service và Customer Experience,commercial-investigation,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,2866,2000-3000,STRONG,11 chỉ số đánh giá quan trọng đối với bộ phận Chăm Sóc Khách Hàng,"Bài viết này sẽ tóm tắt 11 KPI cần thiết đối với mỗi một nhân sự trong bộ phận Chăm Sóc Khách Hàng (CSKH), người quản lý và lãnh đạo công ty.",0,0,1,Gcalls CX|Tổng đài tích hợp Helpdesk,HAS_FEATURED,sla_uptime,VERIFY_PRODUCT,AUDITED_PENDING_BATCH
BLOG-017,872,Công nghệ đang thay đổi cách mọi người làm việc từ xa như thế nào?,cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-viec-tu-xa-nhu-the-nao,/cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-viec-tu-xa-nhu-the-nao/,PUBLISH,Công nghệ|Kiến thức|Kỹ thuật,HUB-08 Kiến thức vận hành doanh nghiệp,informational-howto,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,2015,2000-3000,STRONG,Công nghệ đang thay đổi cách mọi người làm việc từ xa như thế nào?,Cơ hội làm việc từ xa gia tăng một phần là do các phần mềm cho phép người sử dụng lao động theo dõi thời gian và năng suất của nhân viên.,0,0,1,Gcalls Plus Webphone,HAS_FEATURED,customer_named,VERIFY_LEGAL,AUDITED_PENDING_BATCH
BLOG-018,884,Tiếp thị qua điện thoại: 13 mẹo chinh phục khách hàng,tiep-thi-qua-dien-thoai-13-meo-chinh-phuc-khach-hang,/tiep-thi-qua-dien-thoai-13-meo-chinh-phuc-khach-hang/,PUBLISH,Kiến thức|Telesales,HUB-03 Telesales và Sales Operations,informational-howto,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1911,1200-2000,ADEQUATE,Tiếp thị qua điện thoại: 13 mẹo chinh phục khách hàng,"Cho dù bạn là chủ doanh nghiệp hay nhân viên tiếp thị qua điện thoại, đây là 13 mẹo bán hàng tốt nhất và hiệu quả nhất mà bạn có thể sử dụng.",0,0,2,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-019,897,10 công nghệ mà bạn phải có để có thể xây dựng Team làm việc từ xa hiệu quả,10-cong-nghe-phai-co-de-co-the-xay-dung-team-lam-viec-tu-xa-hieu-qua,/10-cong-nghe-phai-co-de-co-the-xay-dung-team-lam-viec-tu-xa-hieu-qua/,PUBLISH,Công nghệ|Kiến thức|Kỹ thuật,HUB-08 Kiến thức vận hành doanh nghiệp,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1213,1200-2000,ADEQUATE,10 công nghệ phải có để có thể xây dựng Team làm việc từ xa hiệu quả,"Đối với các doanh nghiệp vừa và nhỏ, việc xây dựng Team làm việc từ xa hiệu quả rất có ý nghĩa. Vậy làm thế nào để có thể xây dựng Team này?",0,0,3,Gcalls Plus Webphone,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-020,1071,Cách tạo hồ sơ khách hàng lý tưởng cho nhóm khách hàng tiềm năng B2B,cach-tao-ho-so-khach-hang-ly-tuong-cho-nhom-khach-hang-tiem-nang-b2b,/cach-tao-ho-so-khach-hang-ly-tuong-cho-nhom-khach-hang-tiem-nang-b2b/,PUBLISH,Bán hàng|Chăm sóc khách hàng|Kiến thức,HUB-03 Telesales và Sales Operations,informational-howto,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,2383,2000-3000,STRONG,Cách tạo hồ sơ khách hàng lý tưởng cho nhóm khách hàng tiềm năng B2B,"Sở hữu một tệp hồ sơ khách hàng lý tưởng sẽ hỗ trợ bạn telesale hiệu quả hơn. Trong bài viết này, chúng tôi sẽ hướng dẫn bạn cách tạo ra nó.",0,0,1,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-021,1082,TOP 10 phần mềm theo dõi bán hàng hàng đầu dành cho doanh nghiệp,top-10-phan-mem-theo-doi-ban-hang-hang-dau-danh-cho-doanh-nghiep,/top-10-phan-mem-theo-doi-ban-hang-hang-dau-danh-cho-doanh-nghiep/,PUBLISH,Bán hàng|Kiến thức,HUB-03 Telesales và Sales Operations,commercial-investigation,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,2965,2000-3000,STRONG,TOP 10 phần mềm theo dõi bán hàng hàng đầu dành cho doanh nghiệp,"Phần mềm theo dõi bán hàng là một công cụ giúp tối ưu quá trình chăm sóc, gia tăng trải nghiệm và xây dựng lòng trung thành của khách hàng.",0,0,1,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-022,1102,5 chỉ số đo lường hiệu suất bán hàng quan trọng mà quản lý nên theo dõi,5-chi-so-do-luong-hieu-suat-ban-hang-quan-trong-nen-theo-doi,/5-chi-so-do-luong-hieu-suat-ban-hang-quan-trong-nen-theo-doi/,PUBLISH,Bán hàng|Kiến thức|Nổi bật,HUB-03 Telesales và Sales Operations,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,2094,2000-3000,STRONG,5 chỉ số đo lường hiệu suất bán hàng quan trọng mà quản lý nên theo dõi,Chỉ số đo lường hiệu suất bán hàng là chỉ số đại diện dùng để đo lường hành vi và hiệu suất của hoạt động bán hàng ở các doanh nghiệp.,0,0,1,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,customer_named,VERIFY_LEGAL,AUDITED_PENDING_BATCH
BLOG-023,1113,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần 1),9-meo-cold-calling-danh-cho-nhan-vien-ban-hang-phan-1,/9-meo-cold-calling-danh-cho-nhan-vien-ban-hang-phan-1/,PUBLISH,Bán hàng|Kiến thức,HUB-03 Telesales và Sales Operations,informational-howto,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,2421,2000-3000,STRONG,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần 1),Cold Calling là gì? Hiện tại nó đã lỗi thời hay chúng ta chưa áp dụng đúng phương pháp để mang lại hiệu quả trong bán hàng và kinh doanh?,0,0,1,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-024,1134,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần cuối),9-meo-cold-calling-danh-cho-nhan-vien-ban-hang-phan-cuoi,/9-meo-cold-calling-danh-cho-nhan-vien-ban-hang-phan-cuoi/,PUBLISH,Bán hàng|Kiến thức,HUB-03 Telesales và Sales Operations,informational-howto,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,2903,2000-3000,STRONG,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần cuối),Cold Calling là gì? Hiện tại nó đã lỗi thời hay chúng ta chưa áp dụng đúng phương pháp để mang lại hiệu quả trong bán hàng và kinh doanh?,0,0,1,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-025,1157,Phần Mềm Contact Center - Giải Pháp Tổng Đài Chuyên Nghiệp 2023,cac-phan-mem-call-center-phu-hop-voi-cac-tong-dai-doanh-nghiep-hien-nay,/cac-phan-mem-call-center-phu-hop-voi-cac-tong-dai-doanh-nghiep-hien-nay/,PUBLISH,Chăm sóc khách hàng|Kiến thức|Trang Chủ,HUB-01 Tổng đài và Call Center,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,5614,2000-3000,STRONG,Phần mềm Call Center & Contact Center Đâu Là Giải Pháp Tổng Đài Chuyên Nghiệp,Bài viết này sẽ giới thiệu đến bạn thông tin về 2 loại phần mềm call center phổ biến là On-premises call center và Cloud-based call center.,0,0,1,Cloud Call Center|Gcalls Plus Webphone,HAS_FEATURED,always_247|sla_uptime|pricing,VERIFY_PRODUCT,AUDITED_PENDING_BATCH
BLOG-026,1187,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 1),ban-hang-inbound-hay-ban-hang-outbound-phan-1,/ban-hang-inbound-hay-ban-hang-outbound-phan-1/,PUBLISH,Bán hàng|Kiến thức,HUB-03 Telesales và Sales Operations,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,2867,2000-3000,STRONG,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 1),"Liệu bạn có nên xây dựng một bộ máy Bán hàng Inbound, thiết lập một nhóm bán hàng outbound hay kết hợp cả 2 phương pháp bán hàng này?",0,0,1,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,unlimited,VERIFY_PRODUCT,AUDITED_PENDING_BATCH
BLOG-027,1198,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 2),ban-hang-inbound-hay-ban-hang-outbound-phan-2,/ban-hang-inbound-hay-ban-hang-outbound-phan-2/,PUBLISH,Bán hàng|Kiến thức,HUB-03 Telesales và Sales Operations,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,4370,2000-3000,STRONG,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 2),"Liệu bạn có nên xây dựng một bộ máy Bán hàng Inbound, thiết lập một nhóm bán hàng outbound hay kết hợp cả 2 phương pháp bán hàng này?",0,0,2,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,unlimited,VERIFY_PRODUCT,AUDITED_PENDING_BATCH
BLOG-028,1219,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 3),ban-hang-inbound-hay-outbound-dau-la-phuong-phap-ban-hang-ma-ban-nen-quan-tam-phan-3,/ban-hang-inbound-hay-outbound-dau-la-phuong-phap-ban-hang-ma-ban-nen-quan-tam-phan-3/,PUBLISH,Bán hàng|Kiến thức,HUB-03 Telesales và Sales Operations,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1794,1200-2000,ADEQUATE,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 3),"Liệu bạn có nên xây dựng một bộ máy Bán hàng Inbound, thiết lập một nhóm bán hàng outbound hay kết hợp cả 2 phương pháp bán hàng này?",0,0,1,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-029,1231,Tương lai của tổng đài doanh nghiệp: 10 xu hướng nổi bật nhất,tuong-lai-cua-tong-dai-doanh-nghiep-10-xu-huong-noi-bat-nhat,/tuong-lai-cua-tong-dai-doanh-nghiep-10-xu-huong-noi-bat-nhat/,PUBLISH,Chăm sóc khách hàng|Kiến thức|Uncategorized,HUB-01 Tổng đài và Call Center,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,2827,2000-3000,STRONG,Tương lai của tổng đài doanh nghiệp: 10 xu hướng nổi bật nhất,Bài viết này đưa ra 10 xu hướng tương lai nổi bật nhất góp phần biến đổi hoàn toàn các tổng đài doanh nghiệp trong 10 năm tới.,0,0,1,Cloud Call Center|Gcalls Plus Webphone,HAS_FEATURED,always_247,VERIFY_PRODUCT,AUDITED_PENDING_BATCH
BLOG-030,1296,Bí quyết telesales: Nên hay không sử dụng kịch bản cuộc gọi bán hàng?,bi-quyet-telesales-nen-hay-khong-nen-su-dung-kich-ban-cuoc-goi-ban-hang,/bi-quyet-telesales-nen-hay-khong-nen-su-dung-kich-ban-cuoc-goi-ban-hang/,PUBLISH,Bán hàng|Kiến thức|Telesales,HUB-03 Telesales và Sales Operations,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,2300,2000-3000,STRONG,Bí quyết telesales: Nên hay không sử dụng kịch bản cuộc gọi bán hàng?,Liệu có nên sử dụng mẫu kịch bản cuộc gọi có sẵn khi tiếp thị qua điện thoại hay không? Hãy tham khảo những lập luận chi tiết dưới đây.,0,0,1,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-031,1314,Telesales: Cách tập trung khi gọi điện bán hàng,telesales-cach-tap-trung-khi-goi-dien-ban-hang,/telesales-cach-tap-trung-khi-goi-dien-ban-hang/,PUBLISH,Bán hàng|Chăm sóc khách hàng|Kiến thức|Telesales,HUB-03 Telesales và Sales Operations,informational-howto,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1579,1200-2000,ADEQUATE,Telesales: Cách tập trung khi gọi điện bán hàng,Thách thức lớn nhất của bạn khi thực hiện công việc telesales là làm sao để không bị phân tâm. Vậy làm thế nào để giải quyết vấn đề trên?,0,0,1,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-032,1324,Thế nào là telesales thành công và cách đánh giá cuộc gọi bán hàng?,telesales-thanh-cong-va-cach-danh-gia-cuoc-goi-ban-hang,/telesales-thanh-cong-va-cach-danh-gia-cuoc-goi-ban-hang/,PUBLISH,Bán hàng|Kiến thức|Telesales,HUB-03 Telesales và Sales Operations,informational-howto,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1945,1200-2000,ADEQUATE,Thế nào là telesales thành công và cách đánh giá cuộc gọi bán hàng?,Bạn nghĩ mình đã telesales thành công? Nhưng để có thể đánh giá cuộc gọi bán hàng có thành công hay không sẽ dựa trên nhiều yếu tố khác.,0,0,1,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
