Source Row,Legacy Post ID,Legacy Title,Legacy Slug,Legacy URL,Legacy Status,Decision,Primary Post ID,New Title,Final Slug,Final URL,HUB,Topic Cluster,Primary Keyword,Secondary Keywords,Search Intent,Target Persona,Funnel Stage,Pillar/Supporting,Target Word Count,Direct Answer Question,Product CTA,Internal Link Targets,Featured Image Brief,In-Article Image Briefs,Claim Verification,Priority,Batch,Draft Status,Editorial Notes
11,669,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần 1),5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-1,https://gcalls.co/5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-1/,PUBLISH,REBUILD_KEEP_URL,,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần 1),5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-1,/5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-1/,HUB-01 Tổng đài và Call Center,Tổng đài và Call Center,lợi ích việc sử dụng,TO_BE_SET_AT_AUTHORING,informational-general,Trưởng phòng vận hành / Call Center Manager,TOFU,SUPPORTING,1200-2000,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần 1)?,Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,10727 | 13378 | 13409,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 2,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
12,676,Làm thế nào để mở rộng một nhóm bán hàng toàn cầu?,lam-the-nao-de-mo-rong-mot-nhom-ban-hang-toan-cau,https://gcalls.co/lam-the-nao-de-mo-rong-mot-nhom-ban-hang-toan-cau/,PUBLISH,REBUILD_KEEP_URL,,Làm thế nào để mở rộng một nhóm bán hàng toàn cầu?,lam-the-nao-de-mo-rong-mot-nhom-ban-hang-toan-cau,/lam-the-nao-de-mo-rong-mot-nhom-ban-hang-toan-cau/,HUB-04 Telesales và Sales Operations,Telesales và Sales Operations,làm mở rộng nhóm bán,TO_BE_SET_AT_AUTHORING,informational-general,Telesales Leader / Sales Manager,TOFU,SUPPORTING,1200-2000,Làm thế nào để mở rộng một nhóm bán hàng toàn cầu?,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/,1617 | 2684 | 2761,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 8,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
13,684,Goals (Mục đích) vs Objectives (Mục tiêu): phân biệt đơn giản,goals-muc-dich-vs-objectives-muc-tieu-phan-biet-don-gian,https://gcalls.co/goals-muc-dich-vs-objectives-muc-tieu-phan-biet-don-gian/,PUBLISH,REBUILD_UPDATE_TOPIC,,Goals (Mục đích) vs Objectives (Mục tiêu): phân biệt đơn giản,goals-muc-dich-vs-objectives-muc-tieu-phan-biet-don-gian,/goals-muc-dich-vs-objectives-muc-tieu-phan-biet-don-gian/,HUB-11 Vận hành doanh nghiệp,Vận hành doanh nghiệp,goals mục đích vs objectives,TO_BE_SET_AT_AUTHORING,informational-general,Chủ doanh nghiệp / Quản lý,TOFU,SUPPORTING,1200-2000,Goals (Mục đích) vs Objectives (Mục tiêu): phân biệt đơn giản?,Gcalls Plus Webphone|/gcalls-plus-webphone/,2261 | 2665 | 2738,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P2,Batch 10,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
14,694,"Tại sao không ""tùy ý"" đưa ý kiến trong content marketing",tai-sao-khong-tuy-y-dua-y-kien-trong-content-marketing,https://gcalls.co/tai-sao-khong-tuy-y-dua-y-kien-trong-content-marketing/,PUBLISH,REBUILD_UPDATE_TOPIC,,"Tại sao không ""tùy ý"" đưa ý kiến trong content marketing",tai-sao-khong-tuy-y-dua-y-kien-trong-content-marketing,/tai-sao-khong-tuy-y-dua-y-kien-trong-content-marketing/,HUB-11 Vận hành doanh nghiệp,Vận hành doanh nghiệp,tùy ý đưa ý kiến,TO_BE_SET_AT_AUTHORING,informational-general,Chủ doanh nghiệp / Quản lý,TOFU,SUPPORTING,1200-2000,"Tại sao không ""tùy ý"" đưa ý kiến trong content marketing?",Gcalls Plus Webphone|/gcalls-plus-webphone/,2261 | 2665 | 2738,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P2,Batch 10,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
15,826,Cách mạng Công nghiệp 4.0 và lợi ích đối với doanh nghiệp,cach-mang-cong-nghiep-4-0-va-loi-ich-doi-voi-doanh-nghiep,https://gcalls.co/cach-mang-cong-nghiep-4-0-va-loi-ich-doi-voi-doanh-nghiep/,PUBLISH,REBUILD_UPDATE_TOPIC,,Cách mạng Công nghiệp 4.0 và lợi ích đối với doanh nghiệp,cach-mang-cong-nghiep-4-0-va-loi-ich-doi-voi-doanh-nghiep,/cach-mang-cong-nghiep-4-0-va-loi-ich-doi-voi-doanh-nghiep/,HUB-11 Vận hành doanh nghiệp,Vận hành doanh nghiệp,mạng công lợi ích đối,TO_BE_SET_AT_AUTHORING,informational-howto,Chủ doanh nghiệp / Quản lý,TOFU,SUPPORTING,1200-2000,Cách mạng Công nghiệp 4.0 và lợi ích đối với doanh nghiệp?,Gcalls Plus Webphone|/gcalls-plus-webphone/,2261 | 2665 | 2738,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P2,Batch 10,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
16,861,11 chỉ số đánh giá quan trọng đối với bộ phận Chăm Sóc Khách Hàng,11-chi-so-danh-gia-quan-trong-doi-voi-bo-phan-cham-soc-khach-hang,https://gcalls.co/11-chi-so-danh-gia-quan-trong-doi-voi-bo-phan-cham-soc-khach-hang/,PUBLISH,REBUILD_KEEP_URL,,11 chỉ số đánh giá quan trọng đối với bộ phận Chăm Sóc Khách Hàng,11-chi-so-danh-gia-quan-trong-doi-voi-bo-phan-cham-soc-khach-hang,/11-chi-so-danh-gia-quan-trong-doi-voi-bo-phan-cham-soc-khach-hang/,HUB-05 Customer Service và Customer Experience,Customer Service và Customer Experience,chỉ số đánh giá quan,TO_BE_SET_AT_AUTHORING,commercial-investigation,Quản lý CSKH,TOFU,PILLAR,2000-3000,11 chỉ số đánh giá quan trọng đối với bộ phận Chăm Sóc Khách Hàng?,Gcalls CX|/gcalls-cx/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,2400 | 2695 | 2752,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 7,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
17,872,Công nghệ đang thay đổi cách mọi người làm việc từ xa như thế nào?,cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-viec-tu-xa-nhu-the-nao,https://gcalls.co/cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-viec-tu-xa-nhu-the-nao/,PUBLISH,REBUILD_KEEP_URL,,Công nghệ đang thay đổi cách mọi người làm việc từ xa như thế nào?,cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-viec-tu-xa-nhu-the-nao,/cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-viec-tu-xa-nhu-the-nao/,HUB-10 Cloud Call Center và làm việc từ xa,Cloud Call Center và làm việc từ xa,công nghệ đang thay đổi,TO_BE_SET_AT_AUTHORING,informational-howto,Quản lý đội remote,TOFU,PILLAR,2000-3000,Công nghệ đang thay đổi cách mọi người làm việc từ xa như thế nào?,Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,897,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 9,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
18,884,Tiếp thị qua điện thoại: 13 mẹo chinh phục khách hàng,tiep-thi-qua-dien-thoai-13-meo-chinh-phuc-khach-hang,https://gcalls.co/tiep-thi-qua-dien-thoai-13-meo-chinh-phuc-khach-hang/,PUBLISH,REBUILD_UPDATE_TOPIC,,Tiếp thị qua điện thoại: 13 mẹo chinh phục khách hàng,tiep-thi-qua-dien-thoai-13-meo-chinh-phuc-khach-hang,/tiep-thi-qua-dien-thoai-13-meo-chinh-phuc-khach-hang/,HUB-11 Vận hành doanh nghiệp,Vận hành doanh nghiệp,tiếp thị qua điện thoại,TO_BE_SET_AT_AUTHORING,informational-howto,Chủ doanh nghiệp / Quản lý,TOFU,SUPPORTING,1200-2000,Tiếp thị qua điện thoại: 13 mẹo chinh phục khách hàng?,Gcalls Plus Webphone|/gcalls-plus-webphone/,2261 | 2665 | 2738,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P2,Batch 10,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
19,897,10 công nghệ mà bạn phải có để có thể xây dựng Team làm việc từ xa hiệu quả,10-cong-nghe-phai-co-de-co-the-xay-dung-team-lam-viec-tu-xa-hieu-qua,https://gcalls.co/10-cong-nghe-phai-co-de-co-the-xay-dung-team-lam-viec-tu-xa-hieu-qua/,PUBLISH,REBUILD_KEEP_URL,,10 công nghệ mà bạn phải có để có thể xây dựng Team làm việc từ xa hiệu quả,10-cong-nghe-phai-co-de-co-the-xay-dung-team-lam-viec-tu-xa-hieu-qua,/10-cong-nghe-phai-co-de-co-the-xay-dung-team-lam-viec-tu-xa-hieu-qua/,HUB-10 Cloud Call Center và làm việc từ xa,Cloud Call Center và làm việc từ xa,công nghệ mà phải thể,TO_BE_SET_AT_AUTHORING,informational-general,Quản lý đội remote,TOFU,SUPPORTING,1200-2000,10 công nghệ mà bạn phải có để có thể xây dựng Team làm việc từ xa hiệu quả?,Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,872,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 9,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
20,1071,Cách tạo hồ sơ khách hàng lý tưởng cho nhóm khách hàng tiềm năng B2B,cach-tao-ho-so-khach-hang-ly-tuong-cho-nhom-khach-hang-tiem-nang-b2b,https://gcalls.co/cach-tao-ho-so-khach-hang-ly-tuong-cho-nhom-khach-hang-tiem-nang-b2b/,PUBLISH,REBUILD_KEEP_URL,,Cách tạo hồ sơ khách hàng lý tưởng cho nhóm khách hàng tiềm năng B2B,cach-tao-ho-so-khach-hang-ly-tuong-cho-nhom-khach-hang-tiem-nang-b2b,/cach-tao-ho-so-khach-hang-ly-tuong-cho-nhom-khach-hang-tiem-nang-b2b/,HUB-04 Telesales và Sales Operations,Telesales và Sales Operations,tạo hồ sơ khách hàng,TO_BE_SET_AT_AUTHORING,informational-howto,Telesales Leader / Sales Manager,TOFU,PILLAR,2000-3000,Cách tạo hồ sơ khách hàng lý tưởng cho nhóm khách hàng tiềm năng B2B?,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/,1617 | 2684 | 2761,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 8,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
21,1082,TOP 10 phần mềm theo dõi bán hàng hàng đầu dành cho doanh nghiệp,top-10-phan-mem-theo-doi-ban-hang-hang-dau-danh-cho-doanh-nghiep,https://gcalls.co/top-10-phan-mem-theo-doi-ban-hang-hang-dau-danh-cho-doanh-nghiep/,PUBLISH,REBUILD_KEEP_URL,,TOP 10 phần mềm theo dõi bán hàng hàng đầu dành cho doanh nghiệp,top-10-phan-mem-theo-doi-ban-hang-hang-dau-danh-cho-doanh-nghiep,/top-10-phan-mem-theo-doi-ban-hang-hang-dau-danh-cho-doanh-nghiep/,HUB-04 Telesales và Sales Operations,Telesales và Sales Operations,mềm theo dõi bán hàng,TO_BE_SET_AT_AUTHORING,commercial-investigation,Telesales Leader / Sales Manager,TOFU,PILLAR,2000-3000,TOP 10 phần mềm theo dõi bán hàng hàng đầu dành cho doanh nghiệp?,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/,1617 | 2684 | 2761,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 8,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
22,1102,5 chỉ số đo lường hiệu suất bán hàng quan trọng mà quản lý nên theo dõi,5-chi-so-do-luong-hieu-suat-ban-hang-quan-trong-nen-theo-doi,https://gcalls.co/5-chi-so-do-luong-hieu-suat-ban-hang-quan-trong-nen-theo-doi/,PUBLISH,REBUILD_KEEP_URL,,5 chỉ số đo lường hiệu suất bán hàng quan trọng mà quản lý nên theo dõi,5-chi-so-do-luong-hieu-suat-ban-hang-quan-trong-nen-theo-doi,/5-chi-so-do-luong-hieu-suat-ban-hang-quan-trong-nen-theo-doi/,HUB-04 Telesales và Sales Operations,Telesales và Sales Operations,chỉ số đo lường hiệu,TO_BE_SET_AT_AUTHORING,informational-general,Telesales Leader / Sales Manager,TOFU,PILLAR,2000-3000,5 chỉ số đo lường hiệu suất bán hàng quan trọng mà quản lý nên theo dõi?,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/,1617 | 2684 | 2761,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 8,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
