Legacy Post ID,New Title,HUB,Primary Keyword,Search Intent,Funnel Stage,Pillar/Supporting,Unique?,Priority
1591,Giọng nói: Yếu tố quyết định thành công trong tiếp thị qua điện thoại,HUB-04,giọng nói yếu tố quyết,informational-general,TOFU,SUPPORTING,YES,P1
1617,Ebook: Hướng dẫn các bước xử lý tình huống khách hàng phàn nàn,HUB-04,ebook hướng dẫn bước xử,informational-howto,TOFU,SUPPORTING,YES,P1
1705,Cách viết bản tự đánh giá công việc của nhân viên đầy đủ và ấn tượng,HUB-11,viết bản tự đánh giá,informational-howto,TOFU,PILLAR,YES,P2
1805,Bán hàng qua điện thoại: 3 câu hỏi bạn nên tự hỏi bản thân trước khi thực hiện cuộc gọi,HUB-04,bán hàng qua điện thoại,informational-general,TOFU,SUPPORTING,COLLISION,P1
1817,Cách chiếm được lòng tin của khách hàng kín tiếng,HUB-04,chiếm được lòng tin khách,informational-howto,TOFU,SUPPORTING,YES,P1
1828,Cải thiện trải nghiệm khách hàng tại Call Center bằng biểu mẫu chấm điểm đánh giá cuộc gọi,HUB-07,cải thiện trải nghiệm khách,commercial-investigation,MOFU,PILLAR,YES,P0
1967,Chiến lược mở rộng ra thị trường nước quốc tế,HUB-09,chiến lược mở rộng ra,informational-general,MOFU,PILLAR,YES,P0
1968,Tổng đài quốc tế: Mở rộng thị trường dễ dàng với phần mềm Call Center kết nối số nước ngoài,HUB-01,tổng đài quốc tế mở,informational-general,TOFU,SUPPORTING,YES,P1
2244,Làm gì để mở rộng đội ngũ hỗ trợ khách hàng mà không hi sinh chất lượng dịch vụ?,HUB-07,làm mở rộng đội ngũ,informational-general,MOFU,PILLAR,YES,P0
2261,Cách tính giá trị vòng đời khách hàng CLV của doanh nghiệp,HUB-11,tính giá trị vòng đời,informational-howto,TOFU,PILLAR,YES,P2
2400,Hướng dẫn đo lường kết quả khảo sát sự hài lòng của khách hàng,HUB-05,hướng dẫn đo lường kết,informational-howto,TOFU,PILLAR,YES,P1
2437,16 công cụ tạo phiếu yêu cầu hỗ trợ ticket cho bộ phận Dịch vụ khách hàng,HUB-03,công cụ tạo phiếu yêu,informational-general,MOFU,PILLAR,YES,P0
2449,Hướng dẫn tính toán và cải thiện chỉ số CAC cho doanh nghiệp năm 2022,HUB-04,hướng dẫn tính toán cải,informational-howto,TOFU,PILLAR,YES,P1
2472,Chỉ số CES là gì và khi nào nên sử dụng khảo sát CES?,HUB-05,chỉ số ces sử dụng,informational-definition,TOFU,PILLAR,YES,P1
2486,Chỉ số NPS là gì và tại sao nó lại quan trọng đối với doanh nghiệp?,HUB-05,chỉ số nps nó lại,informational-definition,TOFU,PILLAR,YES,P1
2495,19 ví dụ về khảo sát sự hài lòng của khách hàng và các khảo sát mẫu,HUB-04,ví dụ khảo sát sự,informational-general,TOFU,PILLAR,YES,P1
2539,Chỉ số CSAT là gì và cách đo lường chỉ số này trong dịch vụ khách hàng?,HUB-05,chỉ số csat đo lường,informational-definition,TOFU,PILLAR,YES,P1
2584,Phần mềm Getfly: Tính năng và ứng dụng của phần mềm CRM “gốc Việt”,HUB-03,mềm getfly tính năng ứng,informational-general,MOFU,PILLAR,YES,P0
2621,Ưu và nhược điểm của các giải pháp trong  phần mềm CRM HubSpot,HUB-03,ưu nhược điểm giải pháp,commercial-investigation,MOFU,PILLAR,YES,P0
2641,Phần mềm Bitrix24 - Các tính năng nổi bật và lý do nên lựa chọn Bitrix24,HUB-04,mềm bitrix24 tính năng nổi,informational-general,TOFU,PILLAR,YES,P1
2665,Chiến lược khách hàng trung tâm (Customer-Centric) cho doanh nghiệp,HUB-11,chiến lược khách hàng trung,informational-general,TOFU,PILLAR,YES,P2
2684,Đội ngũ bán hàng nên quay lại văn phòng hay làm việc từ xa sau đại dịch?,HUB-04,đội ngũ bán hàng quay,informational-general,TOFU,SUPPORTING,YES,P1
2695,10 điều không nên nói trong một cuộc gọi chăm sóc khách hàng,HUB-05,điều nói cuộc gọi chăm,informational-general,TOFU,SUPPORTING,YES,P1
2738,Tại sao phàn nàn của khách hàng lại có ích cho doanh nghiệp của bạn?,HUB-11,phàn nàn khách hàng lại,informational-general,TOFU,PILLAR,YES,P2
2752,Khách hàng tự phục vụ và ví dụ về các cổng thông tin tự phục vụ tốt nhất,HUB-05,khách hàng tự phục vụ,commercial-investigation,TOFU,PILLAR,COLLISION,P1
2761,Làm thế nào để kết nối 2 bộ phận bán hàng và dịch vụ khách hàng?,HUB-04,làm kết nối bộ phận,informational-general,TOFU,PILLAR,YES,P1
2768,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần 1),HUB-01,call center điểm khác biệt,informational-general,TOFU,PILLAR,COLLISION,P1
2784,18 lợi ích mà giải pháp tích hợp điện thoại máy tính đem đến cho Call Center,HUB-01,lợi ích mà giải pháp,informational-general,TOFU,PILLAR,YES,P1
2811,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần cuối),HUB-01,call center điểm khác biệt,informational-general,TOFU,PILLAR,COLLISION,P1
2819,"Ưu, nhược điểm của phần mềm quản lý quan hệ khách hàng Zoho CRM",HUB-03,ưu nhược điểm mềm quản,commercial-investigation,MOFU,PILLAR,YES,P0
2835,Liệu Salesforce có phải là phần mềm CRM tốt nhất trên thị trường?,HUB-03,liệu salesforce phải mềm crm,commercial-investigation,MOFU,PILLAR,YES,P0
2850,Ưu và nhược điểm của Zendesk: Đâu là phần mềm help desk tốt nhất?,HUB-03,ưu nhược điểm zendesk đâu,commercial-investigation,MOFU,PILLAR,YES,P0
2864,Phần mềm Pancake POS: Tính năng và những ưu nhược điểm cần biết,HUB-03,mềm pancake pos tính năng,commercial-investigation,MOFU,PILLAR,YES,P0
2883,Sapo POS là gì? Phần mềm Sapo POS có tốt không?,HUB-03,sapo pos mềm sapo pos,informational-definition,MOFU,PILLAR,YES,P0
2920,36 mẹo telesales để bán hàng thành công năm 2021 (PHẦN 1),HUB-04,mẹo telesales bán hàng thành,informational-howto,TOFU,PILLAR,COLLISION,P1
2930,36 Mẹo telesales để bán hàng thành công năm 2021 (PHẦN CUỐI),HUB-04,mẹo telesales bán hàng thành,informational-howto,TOFU,PILLAR,COLLISION,P1
2958,Bán hàng qua điện thoại: Làm gì nếu khách hàng nói không có thời gian?,HUB-04,bán hàng qua điện thoại,informational-general,TOFU,PILLAR,COLLISION,P1
10727,9 quy tắc giao tiếp qua điện thoại với khách hàng mà tổng đài viên cần biết,HUB-01,quy tắc giao tiếp qua,informational-general,TOFU,PILLAR,YES,P1
10728,Dịch vụ khách hàng chủ động: Chiến lược và giá trị đối với doanh nghiệp,HUB-11,dịch vụ khách hàng chủ,transactional,TOFU,PILLAR,YES,P2
10729,Làm gì để tạo cuộc khảo sát về mức độ hài lòng của khách hàng hiệu quả?,HUB-05,làm tạo cuộc khảo sát,informational-general,TOFU,PILLAR,YES,P1
10730,Hướng dẫn các bước xử lý tình huống khách hàng phàn nàn,HUB-04,hướng dẫn bước xử lý,informational-howto,TOFU,PILLAR,YES,P1
10731,Khách hàng tự phục vụ và các ví dụ về loại hình trang web self-service,HUB-05,khách hàng tự phục vụ,informational-general,TOFU,PILLAR,COLLISION,P1
10733,Cuộc gọi tiếp thị qua điện thoại là gì và cách thực hiện cuộc gọi hiệu quả?,HUB-04,cuộc gọi tiếp thị qua,informational-definition,TOFU,SUPPORTING,YES,P1
10734,Cách tiếp thị qua điện thoại hiệu quả xử lý 3 lời từ chối cuộc gọi chào hàng,HUB-04,tiếp thị qua điện thoại,informational-howto,TOFU,SUPPORTING,COLLISION,P1
10740,Bộ câu hỏi phỏng vấn chuyên viên Telemarketing và Telesales,HUB-04,bộ câu hỏi phỏng vấn,informational-general,TOFU,SUPPORTING,YES,P1
10741,8 lời khuyên dành cho nhà quản lý Call Center,HUB-01,lời khuyên dành nhà quản,informational-general,TOFU,SUPPORTING,YES,P1
10742,Quyết toán thuế TNCN - Doanh nghiệp và người lao động cần biết,HUB-11,quyết toán thuế tncn người,informational-general,TOFU,SUPPORTING,YES,P2
10743,Hướng dẫn nhân viên tư vấn bán hàng cách xử lý khách hàng nóng tính,HUB-04,hướng dẫn nhân viên tư,informational-howto,TOFU,PILLAR,YES,P1
10745,Xây dựng chiến lược email follow-up giúp bán hàng hiệu quả (Phần 1),HUB-04,xây dựng chiến lược email,informational-general,TOFU,SUPPORTING,COLLISION,P1
10746,Xây dựng chiến lược email follow-up giúp bán hàng hiệu quả (Phần cuối),HUB-04,xây dựng chiến lược email,informational-general,TOFU,SUPPORTING,COLLISION,P1
10747,7 bước lập kế hoạch telesales hiệu quả,HUB-04,bước lập kế hoạch telesales,informational-howto,TOFU,PILLAR,YES,P1
10748,5 điều về trải nghiệm khách hàng mà mọi nhân viên bán hàng nên biết,HUB-04,điều trải nghiệm khách hàng,informational-general,TOFU,SUPPORTING,YES,P1
10749,EBOOK: MẪU KỊCH BẢN CHĂM SÓC KHÁCH HÀNG QUA ĐIỆN THOẠI,HUB-05,ebook mẫu kịch bản chăm,informational-general,TOFU,SUPPORTING,YES,P1
10750,Cách bán hàng hiệu quả bằng giọng nói,HUB-04,bán hàng hiệu quả giọng,informational-howto,TOFU,SUPPORTING,YES,P1
10751,5 bước để thiết kế một kịch bản bán hàng thành công,HUB-04,bước thiết kế kịch bản,informational-howto,TOFU,SUPPORTING,YES,P1
10752,Đừng báo giá giải pháp trước khi truyền tải được giá trị đến khách hàng,HUB-04,đừng báo giá giải pháp,transactional,TOFU,SUPPORTING,YES,P1
10753,Mẫu bảng đánh giá nhân viên bán hàng mới nhất,HUB-04,mẫu bảng đánh giá nhân,commercial-investigation,TOFU,PILLAR,YES,P1
10754,Cuộc họp đánh giá bán hàng hàng năm: 8 bước để thực hiện hiệu quả,HUB-04,cuộc họp đánh giá bán,informational-howto,TOFU,PILLAR,YES,P1
10756,Sales: Telesales và Telemarketing,HUB-04,sales telesales telemarketing,informational-general,TOFU,SUPPORTING,YES,P1
12281,SMS Marketing Là Gì? Vì Sao Bạn Nên Dùng SMS Marketing?,HUB-11,sms marketing vì dùng sms,informational-definition,TOFU,SUPPORTING,YES,P2
12293,Phần Mềm SMS Marketing Và Những Điều Cần Biết,HUB-11,mềm sms marketing điều cần,informational-general,TOFU,SUPPORTING,YES,P2
12309,Dịch Vụ Tin Nhắn SMS Brandname Là Gì?,HUB-11,dịch vụ tin nhắn sms,informational-definition,TOFU,SUPPORTING,YES,P2
12326,"Sms Brandname Là Gì, Gồm Mấy Loại Và Có Lợi Ích Gì Cho Doanh Nghiệp?",HUB-11,sms brandname gồm mấy loại,informational-definition,TOFU,SUPPORTING,YES,P2
12590,Phần Mềm SMS Brandname Nào Tốt Nhất?,HUB-11,mềm sms brandname tốt,commercial-investigation,TOFU,SUPPORTING,YES,P2
12599,SMS Marketing Giá Rẻ - Báo Giá Nhanh - Hiệu Quả Hàng Đầu,HUB-11,sms marketing giá rẻ báo,transactional,TOFU,SUPPORTING,YES,P2
12625,"SMS Brandname Giá Rẻ, Uy Tín Tại Gcalls",HUB-11,sms brandname giá rẻ uy,transactional,TOFU,SUPPORTING,YES,P2
12686,Học Ngay 5 Kinh Nghiệm Bán Hàng Trên Shopee Cực Hiệu Quả 2022,HUB-04,học ngay kinh nghiệm bán,informational-general,TOFU,SUPPORTING,YES,P3
12751,"Kinh Nghiệm Kinh Doanh Shopee, Bán Hàng Online Hiệu Quả",HUB-04,kinh nghiệm kinh shopee bán,informational-general,TOFU,SUPPORTING,YES,P3
12770,Shopee Template Và Cách Thiết Kế Chi Tiết Trên Canva,HUB-08,shopee template thiết kế chi,informational-howto,TOFU,SUPPORTING,YES,P3
12797,Khóa Học Bán Hàng Trên Shopee Nào Hiệu Quả Nhất,HUB-04,khóa học bán hàng trên,informational-general,TOFU,SUPPORTING,YES,P3
12991,Kinh Nghiệm Bán Hàng Trên Lazada Cho Người Mới Bắt Đầu,HUB-04,kinh nghiệm bán hàng trên,informational-general,TOFU,SUPPORTING,YES,P3
13012,Kinh Nghiệm Kinh Doanh Lazada Dành Cho Người Mới Bắt Đầu,HUB-04,kinh nghiệm kinh lazada dành,informational-general,TOFU,SUPPORTING,YES,P3
13020,Khóa Học Kinh Doanh Shopee Hiệu Quả Trong Top 3,HUB-04,khóa học kinh shopee hiệu,commercial-investigation,TOFU,SUPPORTING,YES,P3
13047,Cách Tối Ưu Sản Phẩm Trên Shopee Hiệu Quả Nhất,HUB-04,tối ưu sản phẩm trên,informational-howto,TOFU,SUPPORTING,COLLISION,P3
13094,Tối Ưu Quảng Cáo Lazada Hiệu Quả Và Chuyên Nghiệp,HUB-04,tối ưu quảng cáo lazada,informational-general,TOFU,SUPPORTING,YES,P3
13167,Cách Tối Ưu Sản Phẩm Trên Lazada,HUB-04,tối ưu sản phẩm trên,informational-howto,TOFU,SUPPORTING,COLLISION,P3
13208,Dịch Vụ Call Center Là Gì? Công Ty Cung Cấp Uy Tín Nhất,HUB-01,dịch vụ call center công,informational-definition,TOFU,SUPPORTING,YES,P1
13242,Tổng Đài Ảo Miễn Phí Là Gì? Top 5+ Tổng Đài Ảo Miễn Phí CRM,HUB-01,tổng đài ảo miễn phí,informational-definition,TOFU,SUPPORTING,YES,P1
13286,Tổng Đài Ảo Là Gì? Lợi Ích Hàng Đầu Dành Cho Doanh Nghiệp,HUB-01,tổng đài ảo lợi ích,informational-definition,TOFU,SUPPORTING,YES,P1
13378,Giải Pháp Tổng Đài Chăm Sóc Khách Hàng: Bỏ Vốn 1 Một Lời 10,HUB-01,giải pháp tổng đài chăm,informational-general,TOFU,SUPPORTING,YES,P1
13388,Tổng Đài Nội Bộ Ảo Khác Tổng Đài Ảo Điểm Nào?,HUB-01,tổng đài nội bộ ảo,informational-general,TOFU,SUPPORTING,YES,P1
13409,Giải Pháp Tổng Đài Hỗ Trợ - Ưu Nhược Điểm,HUB-01,giải pháp tổng đài hỗ,commercial-investigation,TOFU,SUPPORTING,YES,P1
13426,Lắp Đặt Tổng Đài Ảo Có Lợi Ích Gì?,HUB-01,lắp đặt tổng đài ảo,informational-general,TOFU,SUPPORTING,YES,P1
13427,Giải Pháp Tổng Đài Ảo Không Dây Có Gì Tốt?,HUB-01,giải pháp tổng đài ảo,informational-general,TOFU,SUPPORTING,COLLISION,P1
13483,Tổng Đài Công Nghệ Là Gì? Có Nên Đầu Tư Vào Tổng Đài Ảo?,HUB-01,tổng đài công nghệ đầu,informational-definition,TOFU,SUPPORTING,YES,P1
13899,Top 4 Kỹ Năng Chăm Sóc Khách Hàng Qua Điện Thoại,HUB-05,kỹ năng chăm sóc khách,informational-howto,TOFU,SUPPORTING,YES,P1
14292,Marketing Automation Là Gì? Những Thông Tin Cần Biết,HUB-08,marketing automation thông tin cần,informational-definition,TOFU,PILLAR,YES,P0
14415,Kế Hoạch Chăm Sóc Khách Hàng Cũ Hiệu Quả Nhất,HUB-05,kế hoạch chăm sóc khách,informational-general,TOFU,SUPPORTING,YES,P1
14462,Hotline Là Gì? Có Những Loại Đầu Số Hotline Nào Hiện Nay?,HUB-01,hotline loại đầu số hotline,informational-definition,TOFU,SUPPORTING,YES,P1
14502,IVR Là Gì? Và Những Điều Cần Biết Về IVR,HUB-01,ivr điều cần biết ivr,informational-definition,TOFU,SUPPORTING,YES,P1
14506,Quy Trình Chăm Sóc Khách Hàng Sau Bán Hàng,HUB-04,quy trình chăm sóc khách,informational-howto,TOFU,SUPPORTING,YES,P1
14522,ACD Là Gì? Ứng Dụng Thực Tế Của ACD Vào Call Center,HUB-01,acd ứng dụng thực tế,informational-definition,TOFU,SUPPORTING,YES,P1
14536,Dịch Vụ Tổng Đài Ảo - 13 Tính Năng Nổi Bật,HUB-01,dịch vụ tổng đài ảo,informational-general,TOFU,SUPPORTING,COLLISION,P1
14539,SIP Trunk Là Gì? Lợi Ích Dịch Vụ Này Mang Đến Như Thế Nào?,HUB-11,sip trunk lợi ích dịch,informational-definition,TOFU,SUPPORTING,YES,P2
14560,Số Tổng Đài 1800 Là Gì? Hướng Dẫn Đăng Ký Đầu Số 1800 Đơn Giản,HUB-01,số tổng đài hướng dẫn,informational-definition,TOFU,SUPPORTING,YES,P1
14568,Giải Đáp Thông Tin Về VoIP Và Ứng Dụng Thực Tế,HUB-01,giải đáp thông tin voip,informational-general,TOFU,SUPPORTING,YES,P1
14607,Mẫu Lời Chào Tổng Đài Điện Thoại Phổ Biến Hiện Nay,HUB-01,mẫu lời chào tổng đài,informational-general,TOFU,SUPPORTING,YES,P1
14614,Service Level Agreement Là Gì? Từ A - Z Thông Tin Về SLA,HUB-11,service level agreement a z,informational-definition,TOFU,SUPPORTING,YES,P2
14787,Cách Xử Lý Các Tình Huống Chăm Sóc Khách Hàng,HUB-04,xử lý tình huống chăm,informational-howto,TOFU,SUPPORTING,YES,P1
14797,Tin Nhắn Chăm Sóc Khách Hàng Cũ Hiệu Quả Nhất,HUB-05,tin nhắn chăm sóc khách,informational-general,TOFU,SUPPORTING,COLLISION,P1
14870,On Premise Là Gì Và Đây Có Phải Là Giải Pháp Tốt Nhất?,HUB-11,on premise đây phải giải,informational-definition,TOFU,SUPPORTING,YES,P2
14890,Hệ Thống Tổng Đài Điện Thoại Chuẩn Là Như Thế Nào?,HUB-01,hệ thống tổng đài điện,informational-general,TOFU,SUPPORTING,YES,P1
14902,Dịch Vụ Chăm Sóc Khách Hàng Là Gì?,HUB-05,dịch vụ chăm sóc khách,informational-definition,TOFU,SUPPORTING,YES,P1
15008,Tổng Đài IP Và Những Khác Biệt So Với Tổng Đài Analog,HUB-01,tổng đài ip khác biệt,informational-general,TOFU,SUPPORTING,YES,P1
15049,Kịch Bản Tư Vấn Khách Hàng Spa Là Gì?,HUB-05,kịch bản tư vấn khách,informational-definition,TOFU,SUPPORTING,YES,P1
15195,Customer Lifetime Value Là Gì? Vai Trò Và Cách Tính,HUB-11,customer lifetime value vai trò,informational-definition,TOFU,SUPPORTING,YES,P2
15207,5 Lý Do Nên Chọn Dịch Vụ Chăm Sóc Khách Hàng Viettel,HUB-05,lý do chọn dịch vụ,informational-howto,TOFU,SUPPORTING,YES,P1
15217,Phần Mềm Quản Lý Bán Hàng Đa Kênh Là Gì? Có Nên Sử Dụng?,HUB-04,mềm quản lý bán hàng,informational-definition,TOFU,SUPPORTING,YES,P1
15221,Dịch Vụ Voice Brandname Là Gì Và Những Lợi Ích Hiện Đại,HUB-11,dịch vụ voice brandname lợi,informational-definition,TOFU,SUPPORTING,YES,P2
15235,Customer Success Là Gì? Những Thông Tin Cụ Thể Nhất,HUB-05,customer success thông tin cụ,informational-definition,TOFU,SUPPORTING,YES,P1
15250,Tổng Đài Contact Center Là Gì?,HUB-01,tổng đài contact center,informational-definition,TOFU,SUPPORTING,YES,P1
15262,Phần Mềm Tổng Đài Ảo Là Gì?,HUB-01,mềm tổng đài ảo,informational-definition,TOFU,SUPPORTING,YES,P1
15281,Mua Số Tổng Đài 1900 Có Lợi Ích Gì? Nên Mua Ở Đâu Uy Tín?,HUB-01,mua số tổng đài lợi,informational-general,TOFU,SUPPORTING,YES,P1
15306,Chăm Sóc Khách Hàng Qua Điện Thoại Và Kỹ Năng Cần Thiết,HUB-05,chăm sóc khách hàng qua,informational-general,TOFU,SUPPORTING,YES,P1
15314,Salesforce Là Gì? Những Thông Tin Quan Trọng Nhất,HUB-03,salesforce thông tin quan trọng,informational-definition,MOFU,PILLAR,YES,P0
15332,Dịch Vụ Voice Brandname Là Gì?,HUB-11,dịch vụ voice brandname,informational-definition,TOFU,PILLAR,YES,P2
15335,Phần Mềm CRM Việt Nam Là Gì?,HUB-03,mềm crm việt nam,informational-definition,MOFU,PILLAR,YES,P0
15353,Cách Xây Dựng Quy Trình Bán Hàng Của Doanh Nghiệp Hiệu Quả,HUB-04,xây dựng quy trình bán,informational-howto,TOFU,SUPPORTING,YES,P1
15363,Vì Sao Chiến Lược Chăm Sóc Khách Hàng Với SalesForce Cần Thiết,HUB-03,vì chiến lược chăm sóc,informational-general,MOFU,PILLAR,YES,P0
15380,So Sánh Salesforce CRM Và Các Phần Mềm Khác,HUB-03,so sánh salesforce crm mềm,commercial-investigation,MOFU,PILLAR,YES,P0
15384,Salesforce Marketing Cloud Là Gì? Tìm Hiểu Thông Tin Từ A-Z,HUB-03,salesforce marketing cloud tìm hiểu,informational-definition,MOFU,PILLAR,YES,P0
15558,8 Cách Giữ Khách Hàng Cũ Hiệu Quả,HUB-05,giữ khách hàng cũ hiệu,informational-howto,TOFU,SUPPORTING,YES,P1
