Post ID,Title,Hub,Status,Planned Related Posts (2-5),Planned Product/Solution Links,Link Status
669,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần 1),HUB-01,publish,647:4-ly-do-su-dung-tong-dai-ao-call-center-la-c | 588:call-center-la-mot-trai-nghiem-thuong-hieu-t | 1157:cac-phan-mem-call-center-phu-hop-voi-cac-ton | 566:5-linh-vuc-rat-can-dich-vu-call-center-trung,Cloud Call Center:/lien-he/ | Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
676,Làm thế nào để mở rộng một nhóm bán hàng toàn cầu?,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
684,Goals (Mục đích) vs Objectives (Mục tiêu): phân biệt đơn giản,HUB-08,publish,1705:cach-viet-ban-tu-danh-gia-cong-viec-cua-nhan | 15332:dich-vu-voice-brandname-la-gi | 872:cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-v | 16611:9-viec-nen-va-khong-nen-lam-trong-quy-trinh-,Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
694,"Tại sao không ""tùy ý"" đưa ý kiến trong content marketing",HUB-08,publish,1705:cach-viet-ban-tu-danh-gia-cong-viec-cua-nhan | 15332:dich-vu-voice-brandname-la-gi | 872:cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-v | 16611:9-viec-nen-va-khong-nen-lam-trong-quy-trinh-,Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
826,Cách mạng Công nghiệp 4.0 và lợi ích đối với doanh nghiệp,HUB-08,publish,1705:cach-viet-ban-tu-danh-gia-cong-viec-cua-nhan | 15332:dich-vu-voice-brandname-la-gi | 872:cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-v | 16611:9-viec-nen-va-khong-nen-lam-trong-quy-trinh-,Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
861,11 chỉ số đánh giá quan trọng đối với bộ phận Chăm Sóc Khách Hàng,HUB-04,publish,15589:cau-hoi-cham-soc-khach-hang-cu-kich-ban-cskh | 15830:mo-hinh-trai-nghiem-khach-hang-la-gi | 16005:he-thong-cham-soc-khach-hang-loi-ich-va-6-ti | 15306:cham-soc-khach-hang-qua-dien-thoai,Gcalls CX:/gcalls-cx/ | Tổng đài tích hợp Helpdesk:/tong-dai-tich-hop-helpdesk/,PLANNED_NOT_IMPLEMENTED
872,Công nghệ đang thay đổi cách mọi người làm việc từ xa như thế nào?,HUB-08,publish,1705:cach-viet-ban-tu-danh-gia-cong-viec-cua-nhan | 15332:dich-vu-voice-brandname-la-gi | 16611:9-viec-nen-va-khong-nen-lam-trong-quy-trinh- | 14773:best-virtual-phone-system-for-small-medium-b,Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
884,Tiếp thị qua điện thoại: 13 mẹo chinh phục khách hàng,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
897,10 công nghệ mà bạn phải có để có thể xây dựng Team làm việc từ xa hiệu quả,HUB-08,publish,1705:cach-viet-ban-tu-danh-gia-cong-viec-cua-nhan | 15332:dich-vu-voice-brandname-la-gi | 872:cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-v | 16611:9-viec-nen-va-khong-nen-lam-trong-quy-trinh-,Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
1071,Cách tạo hồ sơ khách hàng lý tưởng cho nhóm khách hàng tiềm năng B2B,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1082,TOP 10 phần mềm theo dõi bán hàng hàng đầu dành cho doanh nghiệp,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1134:9-meo-cold-calling-danh-cho-nhan-vien-ban-ha,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1102,5 chỉ số đo lường hiệu suất bán hàng quan trọng mà quản lý nên theo dõi,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1113,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần 1),HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1134,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần cuối),HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1157,Phần Mềm Contact Center - Giải Pháp Tổng Đài Chuyên Nghiệp 2023,HUB-01,publish,647:4-ly-do-su-dung-tong-dai-ao-call-center-la-c | 588:call-center-la-mot-trai-nghiem-thuong-hieu-t | 566:5-linh-vuc-rat-can-dich-vu-call-center-trung | 1967:chien-luoc-mo-rong-ra-thi-truong-nuoc-ngoai-,Cloud Call Center:/lien-he/ | Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
1187,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 1),HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1198,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 2),HUB-03,publish,1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d | 1134:9-meo-cold-calling-danh-cho-nhan-vien-ban-ha,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1219,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 3),HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1231,Tương lai của tổng đài doanh nghiệp: 10 xu hướng nổi bật nhất,HUB-01,publish,647:4-ly-do-su-dung-tong-dai-ao-call-center-la-c | 588:call-center-la-mot-trai-nghiem-thuong-hieu-t | 1157:cac-phan-mem-call-center-phu-hop-voi-cac-ton | 566:5-linh-vuc-rat-can-dich-vu-call-center-trung,Cloud Call Center:/lien-he/ | Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
1296,Bí quyết telesales: Nên hay không sử dụng kịch bản cuộc gọi bán hàng?,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1314,Telesales: Cách tập trung khi gọi điện bán hàng,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1324,Thế nào là telesales thành công và cách đánh giá cuộc gọi bán hàng?,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1351,6 cách nhắn tin cho khách hàng đạt hiệu quả trong quy trình bán hàng,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1368,Phần mềm gọi tự động và lợi ích đối với chiến lược bán hàng,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1381,6 bước xây dựng kịch bản bán hàng đỉnh cao,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d | 1134:9-meo-cold-calling-danh-cho-nhan-vien-ban-ha,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1396,Cách gọi điện thoại cho khách hàng tiềm năng đã mở email,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d | 1134:9-meo-cold-calling-danh-cho-nhan-vien-ban-ha,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1420,Cách giảm áp lực khi làm telesales,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1427,Các chỉ số đánh giá phễu bán hàng hiệu quả,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1440,Tiếp thị qua điện thoại: Hướng dẫn nhanh Cold Calling chuyên nghiệp,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1454,Hướng dẫn nhân viên bán hàng SaaS xử lý từ chối giao dịch (Phần 1),HUB-03,draft,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1496,Hướng dẫn nhân viên bán hàng SaaS xử lý từ chối giao dịch (Phần cuối),HUB-03,draft,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1529,Tiêu chí đánh giá hiệu quả bán hàng,HUB-03,draft,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1541,Các bước tổ chức một cuộc họp khách hàng chuyên nghiệp,HUB-04,draft,861:11-chi-so-danh-gia-quan-trong-doi-voi-bo-pha | 15589:cau-hoi-cham-soc-khach-hang-cu-kich-ban-cskh | 15830:mo-hinh-trai-nghiem-khach-hang-la-gi | 16005:he-thong-cham-soc-khach-hang-loi-ich-va-6-ti,Gcalls CX:/gcalls-cx/ | Tổng đài tích hợp Helpdesk:/tong-dai-tich-hop-helpdesk/,PLANNED_NOT_IMPLEMENTED
1560,Tiếp thị qua điện thoại: Kỹ năng xử lý từ chối giúp tăng cơ hội bán hàng,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1591,Giọng nói: Yếu tố quyết định thành công trong tiếp thị qua điện thoại,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1617,Ebook: Hướng dẫn các bước xử lý tình huống khách hàng phàn nàn,HUB-08,draft,1705:cach-viet-ban-tu-danh-gia-cong-viec-cua-nhan | 15332:dich-vu-voice-brandname-la-gi | 872:cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-v | 16611:9-viec-nen-va-khong-nen-lam-trong-quy-trinh-,Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
1705,Cách viết bản tự đánh giá công việc của nhân viên đầy đủ và ấn tượng,HUB-08,publish,15332:dich-vu-voice-brandname-la-gi | 872:cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-v | 16611:9-viec-nen-va-khong-nen-lam-trong-quy-trinh- | 14773:best-virtual-phone-system-for-small-medium-b,Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
1805,Bán hàng qua điện thoại: 3 câu hỏi bạn nên tự hỏi bản thân trước khi thực hiện cuộc gọi,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1817,Cách chiếm được lòng tin của khách hàng kín tiếng,HUB-03,publish,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
1828,Cải thiện trải nghiệm khách hàng tại Call Center bằng biểu mẫu chấm điểm đánh giá cuộc gọi,HUB-01,publish,647:4-ly-do-su-dung-tong-dai-ao-call-center-la-c | 588:call-center-la-mot-trai-nghiem-thuong-hieu-t | 1157:cac-phan-mem-call-center-phu-hop-voi-cac-ton | 566:5-linh-vuc-rat-can-dich-vu-call-center-trung,Cloud Call Center:/lien-he/ | Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
1967,Chiến lược mở rộng ra thị trường nước quốc tế,HUB-01,publish,647:4-ly-do-su-dung-tong-dai-ao-call-center-la-c | 588:call-center-la-mot-trai-nghiem-thuong-hieu-t | 1157:cac-phan-mem-call-center-phu-hop-voi-cac-ton | 566:5-linh-vuc-rat-can-dich-vu-call-center-trung,Cloud Call Center:/lien-he/ | Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
1968,Tổng đài quốc tế: Mở rộng thị trường dễ dàng với phần mềm Call Center kết nối số nước ngoài,HUB-01,publish,647:4-ly-do-su-dung-tong-dai-ao-call-center-la-c | 588:call-center-la-mot-trai-nghiem-thuong-hieu-t | 1157:cac-phan-mem-call-center-phu-hop-voi-cac-ton | 566:5-linh-vuc-rat-can-dich-vu-call-center-trung,Cloud Call Center:/lien-he/ | Gcalls Plus Webphone:/gcalls-plus-webphone/,PLANNED_NOT_IMPLEMENTED
2167,Mẫu bảng đánh giá nhân viên bán hàng mới nhất,HUB-03,draft,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
2200,Lead qualification: Cách đánh giá khách hàng tiềm năng hiệu quả,HUB-03,draft,1198:ban-hang-inbound-hay-ban-hang-outbound-phan- | 1381:6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao | 1396:cach-goi-dien-thoai-cho-khach-hang-tiem-nang | 1082:top-10-phan-mem-theo-doi-ban-hang-hang-dau-d,Gcalls Plus Webphone:/gcalls-plus-webphone/ | Tổng đài tích hợp CRM:/tong-dai-tich-hop-crm/,PLANNED_NOT_IMPLEMENTED
2244,Làm gì để mở rộng đội ngũ hỗ trợ khách hàng mà không hi sinh chất lượng dịch vụ?,HUB-04,draft,861:11-chi-so-danh-gia-quan-trong-doi-voi-bo-pha | 15589:cau-hoi-cham-soc-khach-hang-cu-kich-ban-cskh | 15830:mo-hinh-trai-nghiem-khach-hang-la-gi | 16005:he-thong-cham-soc-khach-hang-loi-ich-va-6-ti,Gcalls CX:/gcalls-cx/ | Tổng đài tích hợp Helpdesk:/tong-dai-tich-hop-helpdesk/,PLANNED_NOT_IMPLEMENTED
2261,Cách tính giá trị vòng đời khách hàng CLV của doanh nghiệp,HUB-04,draft,861:11-chi-so-danh-gia-quan-trong-doi-voi-bo-pha | 15589:cau-hoi-cham-soc-khach-hang-cu-kich-ban-cskh | 15830:mo-hinh-trai-nghiem-khach-hang-la-gi | 16005:he-thong-cham-soc-khach-hang-loi-ich-va-6-ti,Gcalls CX:/gcalls-cx/ | Tổng đài tích hợp Helpdesk:/tong-dai-tich-hop-helpdesk/,PLANNED_NOT_IMPLEMENTED
