Post ID,Title,Status,Language,Words,H1,H2,H3,Duplicate Of,Thin,Outdated,Internal Links,External Links,Outbound Domains,Scripts,Iframes,Shortcodes,Elementor,Claims Detected,Pricing Claim,247/SLA Claim,Customer Named,Featured Image,CTA Present,SEO Title Set,Meta Desc Set,Canonical Set,Published,Modified,Non-Editorial
1219,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 3),publish,vi,1794,0,3,9,,,YES,1,1,salesforce.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-15,2022-07-11,
1231,Tương lai của tổng đài doanh nghiệp: 10 xu hướng nổi bật nhất,publish,vi,2827,0,10,0,,,YES,1,0,,0,0,,YES,always_247,,YES,,YES,YES,YES,YES,NO,2021-10-16,2022-07-13,
1296,Bí quyết telesales: Nên hay không sử dụng kịch bản cuộc gọi bán hàng?,publish,vi,2300,0,3,12,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-18,2022-07-11,
1314,Telesales: Cách tập trung khi gọi điện bán hàng,publish,vi,1579,0,3,5,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-20,2022-07-11,
1324,Thế nào là telesales thành công và cách đánh giá cuộc gọi bán hàng?,publish,vi,1945,0,3,2,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-21,2022-07-13,
1351,6 cách nhắn tin cho khách hàng đạt hiệu quả trong quy trình bán hàng,publish,vi,2129,0,7,0,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-23,2022-07-11,
1368,Phần mềm gọi tự động và lợi ích đối với chiến lược bán hàng,publish,vi,2111,0,6,8,,,YES,1,0,,0,0,,YES,customer_named,,,YES,YES,YES,YES,YES,NO,2021-10-24,2022-07-11,
1381,6 bước xây dựng kịch bản bán hàng đỉnh cao,publish,vi,3469,0,3,6,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-25,2022-07-11,
1396,Cách gọi điện thoại cho khách hàng tiềm năng đã mở email,publish,vi,3137,0,4,6,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-26,2022-07-11,
1420,Cách giảm áp lực khi làm telesales,publish,vi,1342,0,4,0,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-28,2022-07-11,
1427,Các chỉ số đánh giá phễu bán hàng hiệu quả,publish,vi,1605,0,3,3,,,YES,1,1,translate.google.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-29,2022-07-11,
1440,Tiếp thị qua điện thoại: Hướng dẫn nhanh Cold Calling chuyên nghiệp,publish,vi,1249,0,3,3,,,YES,2,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-30,2022-07-11,
1454,Hướng dẫn nhân viên bán hàng SaaS xử lý từ chối giao dịch (Phần 1),draft,vi,1871,0,2,3,,,,2,0,,0,0,,YES,setup_time,,,,YES,YES,YES,YES,NO,2022-08-01,2022-08-01,
1496,Hướng dẫn nhân viên bán hàng SaaS xử lý từ chối giao dịch (Phần cuối),draft,vi,1429,0,3,0,,,,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-08-01,2022-08-01,
1529,Tiêu chí đánh giá hiệu quả bán hàng,draft,vi,2075,0,3,7,17802,,,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-08-01,2022-08-01,
1541,Các bước tổ chức một cuộc họp khách hàng chuyên nghiệp,draft,vi,2765,0,4,18,,,,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-08-01,2022-08-01,
1560,Tiếp thị qua điện thoại: Kỹ năng xử lý từ chối giúp tăng cơ hội bán hàng,publish,vi,1562,0,4,4,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-12-04,2022-07-11,
1591,Giọng nói: Yếu tố quyết định thành công trong tiếp thị qua điện thoại,publish,vi,1442,0,4,0,,,,1,1,studytienganh.vn,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-01-20,2022-07-11,
1617,Ebook: Hướng dẫn các bước xử lý tình huống khách hàng phàn nàn,draft,vi,581,0,3,0,,YES,YES,13,4,facebook.com|gcalls.zendesk.com|linkedin.com|youtube.com,0,0,,YES,,,,,YES,YES,NO,NO,NO,2021-12-30,2022-10-27,
1705,Cách viết bản tự đánh giá công việc của nhân viên đầy đủ và ấn tượng,publish,vi,4871,0,8,29,,,YES,2,1,cnbc.com,0,0,,YES,perf_30_50,,,,YES,YES,YES,YES,NO,2021-12-30,2022-11-18,
1805,Bán hàng qua điện thoại: 3 câu hỏi bạn nên tự hỏi bản thân trước khi thực hiện cuộc gọi,publish,vi,1179,0,4,0,,,,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-01-19,2022-07-11,
1817,Cách chiếm được lòng tin của khách hàng kín tiếng,publish,vi,1108,0,4,0,,,,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-01-24,2022-07-11,
1828,Cải thiện trải nghiệm khách hàng tại Call Center bằng biểu mẫu chấm điểm đánh giá cuộc gọi,publish,vi,1999,0,10,0,2704,,,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-01-24,2022-07-11,
1967,Chiến lược mở rộng ra thị trường nước quốc tế,publish,vi,3234,0,3,15,,,,2,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-04-20,2022-07-11,
1968,Tổng đài quốc tế: Mở rộng thị trường dễ dàng với phần mềm Call Center kết nối số nước ngoài,publish,vi,1900,0,3,5,,,,8,2,bit.ly|facebook.com,0,0,,YES,countries_70|setup_time,,,,YES,YES,YES,YES,NO,2022-04-20,2022-07-11,
2167,Mẫu bảng đánh giá nhân viên bán hàng mới nhất,draft,vi,2599,0,5,7,10753,,,1,2,blog.hubspot.com|docs.google.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-02-14,2022-08-01,
2200,Lead qualification: Cách đánh giá khách hàng tiềm năng hiệu quả,draft,vi,3837,0,5,14,17875,,,1,2,docs.google.com|drive.google.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-07-31,2022-07-31,
2244,Làm gì để mở rộng đội ngũ hỗ trợ khách hàng mà không hi sinh chất lượng dịch vụ?,draft,vi,3350,0,4,4,,,,2,5,docs.google.com|helpscout.com,0,0,,YES,setup_time,,,,YES,YES,YES,YES,NO,2022-07-31,2022-07-31,
2261,Cách tính giá trị vòng đời khách hàng CLV của doanh nghiệp,draft,vi,3323,0,6,20,,,,1,1,docs.google.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-02-17,2022-07-31,
2400,Hướng dẫn đo lường kết quả khảo sát sự hài lòng của khách hàng,draft,vi,5601,0,3,24,,,,2,2,docs.google.com,0,0,,YES,always_247,,YES,,YES,YES,YES,YES,NO,2022-02-18,2022-07-31,
2425,Hướng dẫn tuyển dụng nhân sự cho bộ phận Hỗ trợ khách hàng,draft,vi,3067,0,3,9,17846,,,2,1,docs.google.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-02-18,2022-07-31,YES
2437,16 công cụ tạo phiếu yêu cầu hỗ trợ ticket cho bộ phận Dịch vụ khách hàng,private,vi,5345,0,3,16,,,,0,0,,0,0,,YES,always_247|sla_uptime|unlimited,,YES,,YES,YES,YES,YES,NO,2022-02-18,2022-07-31,
2449,Hướng dẫn tính toán và cải thiện chỉ số CAC cho doanh nghiệp năm 2022,draft,vi,3255,0,9,5,,,,2,1,docs.google.com,0,0,,YES,always_247|pricing,YES,YES,,YES,YES,YES,YES,NO,2022-07-24,2022-07-24,
2462,Tại sao tỷ lệ giữ chân khách hàng lại quan trọng đối với doanh nghiệp?,draft,vi,4171,0,5,15,17884,,,2,0,,0,0,,YES,perf_30_50,,,,YES,YES,YES,YES,NO,2022-07-24,2022-07-24,
2472,Chỉ số CES là gì và khi nào nên sử dụng khảo sát CES?,draft,vi,3001,0,5,8,,,,2,1,docs.google.com,0,0,,YES,customer_named,,,YES,YES,YES,YES,YES,NO,2022-07-24,2022-07-24,
2486,Chỉ số NPS là gì và tại sao nó lại quan trọng đối với doanh nghiệp?,draft,vi,3149,0,5,8,,,,2,1,docs.google.com,0,0,,YES,customer_named,,,YES,YES,YES,YES,YES,NO,2022-07-24,2022-07-24,
2495,19 ví dụ về khảo sát sự hài lòng của khách hàng và các khảo sát mẫu,draft,vi,5808,0,10,30,,,,13,11,blog.hubspot.com|docs.google.com|facebook.com|gcalls.zendesk.com|linkedin.com|youtube.com,0,0,,YES,setup_time,,,,YES,YES,YES,YES,NO,2022-07-24,2022-07-24,
2539,Chỉ số CSAT là gì và cách đo lường chỉ số này trong dịch vụ khách hàng?,draft,vi,2747,0,7,2,17827,,,2,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-07-24,2022-07-24,
2584,Phần mềm Getfly: Tính năng và ứng dụng của phần mềm CRM “gốc Việt”,draft,vi,3082,0,5,9,,,,6,1,martool.vn,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-07-24,2022-07-24,
2621,Ưu và nhược điểm của các giải pháp trong  phần mềm CRM HubSpot,draft,vi,6221,0,4,5,,,,2,0,,0,0,,YES,setup_time|customer_named,,,YES,YES,YES,YES,YES,NO,2022-07-23,2022-07-23,
2641,Phần mềm Bitrix24 - Các tính năng nổi bật và lý do nên lựa chọn Bitrix24,draft,vi,3209,0,7,7,,,,2,0,,0,0,,YES,unlimited,,,,YES,YES,YES,YES,NO,2022-07-23,2022-07-23,
2665,Chiến lược khách hàng trung tâm (Customer-Centric) cho doanh nghiệp,draft,vi,3638,0,5,7,,,,2,21,amazon.com|blog.globalwebindex.com|cmocouncil.org|econsultancy.com|sas.com|superoffice.com|zappos.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-03-03,2022-07-23,
2684,Đội ngũ bán hàng nên quay lại văn phòng hay làm việc từ xa sau đại dịch?,draft,vi,1834,0,3,3,,,,2,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-03-03,2022-07-23,
2695,10 điều không nên nói trong một cuộc gọi chăm sóc khách hàng,draft,vi,1554,0,10,0,,,,2,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-03-03,2022-07-20,
2704,Hướng dẫn tạo biểu mẫu chấm điểm đánh giá cuộc gọi tại Call Center,draft,vi,2043,0,10,0,1828,,,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-03-04,2022-07-20,
2715,Hướng dẫn tuyển dụng nhân viên hỗ trợ cho bộ phận dịch vụ khách hàng,draft,vi,2995,0,3,8,,,,2,6,careerbuilder.vn|jobs.google.com|jobsvietnam.org|timviecnhanh.com|vietnamworks.com|vn.indeed.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-03-04,2022-07-20,YES
2738,Tại sao phàn nàn của khách hàng lại có ích cho doanh nghiệp của bạn?,draft,vi,3007,0,6,5,,,,3,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-03-04,2022-07-19,
2752,Khách hàng tự phục vụ và ví dụ về các cổng thông tin tự phục vụ tốt nhất,draft,vi,6106,0,9,27,,,,2,0,,0,0,,YES,always_247|customer_named,,YES,YES,YES,YES,YES,YES,NO,2022-03-04,2022-07-19,
2761,Làm thế nào để kết nối 2 bộ phận bán hàng và dịch vụ khách hàng?,draft,vi,2840,0,2,8,17832,,,2,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-03-04,2022-07-19,
2768,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần 1),publish,vi,2387,0,2,8,,,,2,3,nextiva.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-03-18,2022-07-11,
2784,18 lợi ích mà giải pháp tích hợp điện thoại máy tính đem đến cho Call Center,publish,vi,2915,0,5,18,,,,1,0,,0,0,,YES,sla_uptime,,YES,,YES,YES,YES,YES,NO,2022-03-23,2022-07-13,
2811,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần cuối),publish,vi,2339,0,2,6,,,,2,0,,0,0,,YES,always_247|unlimited,,YES,,YES,YES,YES,YES,NO,2022-03-23,2022-07-13,
2819,"Ưu, nhược điểm của phần mềm quản lý quan hệ khách hàng Zoho CRM",draft,vi,4456,0,3,6,17902,,,2,1,youtu.be,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-07-18,2022-07-18,
2835,Liệu Salesforce có phải là phần mềm CRM tốt nhất trên thị trường?,draft,vi,4517,0,6,13,,,,2,1,trailhead.salesforce.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-07-18,2022-07-18,
2850,Ưu và nhược điểm của Zendesk: Đâu là phần mềm help desk tốt nhất?,draft,vi,4598,0,4,3,,,,2,0,,0,0,,YES,always_247,,YES,,YES,YES,YES,YES,NO,2022-07-18,2022-07-18,
2864,Phần mềm Pancake POS: Tính năng và những ưu nhược điểm cần biết,draft,vi,3571,0,11,15,,,,13,5,facebook.com|gcalls.zendesk.com|linkedin.com|pos.pages.fm|youtube.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-07-17,2022-07-17,
2883,Sapo POS là gì? Phần mềm Sapo POS có tốt không?,draft,vi,4269,0,6,17,,,,3,3,sapo.vn|support.sapo.vn,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-07-17,2022-07-17,
2904,"Tại sao nói: “Phản hồi của khách hàng của bạn vẫn còn quan trọng đối với doanh nghiệp?""",draft,vi,2995,0,5,12,17894,,,4,0,,0,0,,YES,,,,,YES,YES,NO,YES,NO,2022-07-17,2022-07-17,
2920,36 mẹo telesales để bán hàng thành công năm 2021 (PHẦN 1),draft,vi,3913,0,19,0,,,,2,7,blog.close.com|close.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-04-05,2022-07-17,
2930,36 Mẹo telesales để bán hàng thành công năm 2021 (PHẦN CUỐI),draft,vi,3168,0,17,0,,,,2,7,blog.close.com|close.com|docs.google.com|en.wikipedia.org,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-04-05,2022-07-20,
2958,Bán hàng qua điện thoại: Làm gì nếu khách hàng nói không có thời gian?,publish,vi,2009,0,4,2,,,,1,0,,0,0,,YES,pricing,YES,,,YES,YES,YES,YES,NO,2022-04-05,2022-07-25,
9980,Tai nghe EPOS Sennheiser 30 USB CTRL,publish,vi,269,1,2,0,9991,YES,,0,0,,0,0,,YES,,,,,NO,YES,NO,NO,NO,2022-03-31,2022-03-31,YES
9991,Tai nghe EPOS Sennheiser SC 60 USB CTRL,publish,vi,271,1,3,0,9980,YES,,0,0,,0,0,,YES,,,,,NO,YES,NO,NO,NO,2022-03-31,2022-03-31,YES
9992,Tai nghe Jabra Biz 1100QD Mono,publish,vi,181,1,3,0,9993|9994|9995,YES,,0,0,,0,0,,YES,,,,,NO,YES,NO,NO,NO,2022-03-31,2022-03-31,YES
9993,Tai Nghe Jabra Biz 1100 QD Duo,publish,vi,301,1,3,0,9992,YES,,0,0,,0,0,,YES,,,,,NO,YES,NO,NO,NO,2022-03-31,2022-03-31,YES
9994,Tai nghe Jabra Biz 1100 USB Mono,publish,vi,205,1,3,0,9992|9995,YES,,0,0,,0,0,,YES,,,,,NO,YES,NO,NO,NO,2022-03-31,2022-03-31,YES
9995,Tai nghe Jabra Biz 1100 USB Duo,publish,vi,217,1,3,0,9992|9994,YES,,0,0,,0,0,,YES,,,,,NO,YES,NO,NO,NO,2022-03-31,2022-03-31,YES
9996,Tai nghe Logitech H340,publish,vi,166,1,3,0,,YES,,0,0,,0,0,,YES,,,,,NO,YES,NO,NO,NO,2022-03-31,2022-03-31,YES
10727,9 quy tắc giao tiếp qua điện thoại với khách hàng mà tổng đài viên cần biết,draft,vi,3254,0,2,14,,,,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-07-31,2022-07-31,
10728,Dịch vụ khách hàng chủ động: Chiến lược và giá trị đối với doanh nghiệp,draft,vi,4325,0,5,7,,,,2,3,intercom.com|softwareadvice.com,0,0,,YES,customer_named,,,YES,YES,YES,YES,YES,NO,2022-07-24,2022-07-24,
10729,Làm gì để tạo cuộc khảo sát về mức độ hài lòng của khách hàng hiệu quả?,draft,vi,3617,0,3,13,,,,2,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-07-24,2022-07-24,
10730,Hướng dẫn các bước xử lý tình huống khách hàng phàn nàn,draft,vi,2965,0,4,7,,,,2,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-03-04,2022-07-20,
10731,Khách hàng tự phục vụ và các ví dụ về loại hình trang web self-service,draft,vi,2806,0,3,5,,,,2,3,docs.google.com|gcalls.zendesk.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-03-04,2022-07-20,
10732,Ebook: Bí quyết telesales hiệu quả,draft,non-vi,0,0,0,0,,YES,,0,0,,0,0,,YES,,,,,NO,NO,NO,YES,NO,2022-10-27,2022-10-27,
10733,Cuộc gọi tiếp thị qua điện thoại là gì và cách thực hiện cuộc gọi hiệu quả?,publish,vi,1377,0,3,0,,,,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-01-11,2022-07-11,
10734,Cách tiếp thị qua điện thoại hiệu quả xử lý 3 lời từ chối cuộc gọi chào hàng,publish,vi,933,0,3,0,,,,1,1,callboxinc.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2022-01-16,2022-07-11,
10740,Bộ câu hỏi phỏng vấn chuyên viên Telemarketing và Telesales,publish,vi,1081,0,2,8,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-06-08,2022-07-11,
10741,8 lời khuyên dành cho nhà quản lý Call Center,publish,vi,1400,0,8,0,,,YES,2,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-01-04,2022-07-11,
10742,Quyết toán thuế TNCN - Doanh nghiệp và người lao động cần biết,publish,vi,1649,0,7,2,,,YES,1,2,luatvietnam.vn|thuvienphapluat.vn,0,0,,YES,pricing,YES,,,YES,YES,YES,YES,NO,2021-07-13,2022-07-11,
10743,Hướng dẫn nhân viên tư vấn bán hàng cách xử lý khách hàng nóng tính,draft,vi,2827,0,3,5,,,,0,0,,0,0,im,YES,customer_named,,,YES,YES,YES,YES,YES,NO,2022-08-01,2022-08-01,
10745,Xây dựng chiến lược email follow-up giúp bán hàng hiệu quả (Phần 1),publish,vi,1195,0,2,0,,,YES,1,1,linkedin.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-07-30,2022-07-11,
10746,Xây dựng chiến lược email follow-up giúp bán hàng hiệu quả (Phần cuối),publish,vi,1578,0,8,6,,,YES,1,0,,0,0,Link,YES,customer_named,,,YES,YES,YES,YES,YES,NO,2021-08-01,2022-07-11,
10747,7 bước lập kế hoạch telesales hiệu quả,publish,vi,2593,0,8,0,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-11,2022-07-11,
10748,5 điều về trải nghiệm khách hàng mà mọi nhân viên bán hàng nên biết,publish,vi,1365,2,9,0,,,YES,10,4,facebook.com|gcalls.zendesk.com|linkedin.com|youtube.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-17,2022-07-11,
10749,EBOOK: MẪU KỊCH BẢN CHĂM SÓC KHÁCH HÀNG QUA ĐIỆN THOẠI,draft,vi,370,0,1,0,,YES,YES,1,0,,0,0,,YES,,,,,YES,YES,NO,NO,NO,2021-10-18,2022-10-28,
10750,Cách bán hàng hiệu quả bằng giọng nói,publish,vi,1931,0,5,3,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-19,2022-07-13,
10751,5 bước để thiết kế một kịch bản bán hàng thành công,publish,vi,1300,0,5,0,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-10-22,2022-07-10,
10752,Đừng báo giá giải pháp trước khi truyền tải được giá trị đến khách hàng,publish,vi,1472,0,4,2,,,YES,1,0,,0,0,,YES,pricing,YES,,,YES,YES,YES,YES,NO,2021-10-27,2022-07-11,
10753,Mẫu bảng đánh giá nhân viên bán hàng mới nhất,publish,vi,2595,0,5,5,2167,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-12-30,2022-07-11,
10754,Cuộc họp đánh giá bán hàng hàng năm: 8 bước để thực hiện hiệu quả,publish,vi,2263,0,9,0,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-12-30,2022-07-11,
10756,Sales: Telesales và Telemarketing,publish,vi,1250,0,4,0,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2020-12-16,2022-07-11,
10798,Tuyển dụng Customer Success Engineer (IT Full Time),publish,vi,589,0,8,0,,YES,,0,1,docs.google.com,0,0,,,pricing,YES,,,YES,YES,NO,NO,NO,2022-06-30,2022-08-19,YES
10801,Tuyển dụng Customer Success Engineer (IT Internship),publish,vi,675,0,4,0,,,,0,1,docs.google.com,0,0,,,pricing,YES,,,YES,YES,NO,NO,NO,2022-06-30,2022-07-07,YES
10957,Tuyển dụng Chuyên Viên Tư Vấn Doanh Nghiệp FullTime,publish,vi,562,0,8,0,10962,YES,,0,1,docs.google.com,0,0,,,,,,,YES,YES,NO,NO,NO,2022-07-06,2022-08-19,YES
