Post ID,URL,Title,Status,Author ID,Author name,Created date,Modified date,Categories,Outbound domains,Script/iframe indicators,Suspicious keyword indicators,Recommended containment,Recommended final HTTP status,Evidence retained
18184,https://gcalls.co/zaklady-sportowe-totolotek-pl-szereg-zakladow-on-the-internet-zaklady-onlin/,"Zakłady Sportowe Totolotek Pl Szereg Zakładów On The Internet, Zakłady Onlin",REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2022-10-21,2024-03-17,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18186,https://gcalls.co/ggbet-zaklady-sportowe-i-esportowe-twoje-kasyno-onlin/,Ggbet Zakłady Sportowe I Esportowe Twoje Kasyno Onlin,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2023-01-18,2024-03-18,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18188,https://gcalls.co/ksw-ranking-kto-jest-mistrzem-w-danej-kategorii-ksw/,“ksw: Ranking Kto Jest Mistrzem W Danej Kategorii Ksw,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2023-02-11,2024-03-19,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18190,https://gcalls.co/turnieje-e-sportowe-2023-wszystkie-zawody-watts-grac/,Turnieje E-sportowe 2023 Wszystkie Zawody Watts Grac,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2022-12-20,2024-03-20,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18193,https://gcalls.co/bet-at-home-zaklady-sportowe-bet-at-home-polsk/,Bet-at-home Zakłady Sportowe Bet-at-home Polsk,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2023-01-04,2024-03-20,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18195,https://gcalls.co/marsylia-villarreal-kursy-typy-zaklady-na-le-seven-03-2024/,"Marsylia Villarreal Kursy, Typy, Zakłady Na Le Seven 03 2024",REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2023-01-21,2024-03-21,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18198,https://gcalls.co/sts-cash-out-company-to-jest-i-actually-na-jakich-zasadach-dziala/,Sts Cash Out Company To Jest I Actually Na Jakich Zasadach Działa,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2022-12-26,2024-03-22,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18205,https://gcalls.co/ksw-obstawianie-gdzie-obstawiac-ksw-92-u-bukmachera/,Ksw Obstawianie Gdzie Obstawiać Ksw 92 U Bukmachera,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2023-03-21,2024-03-25,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18209,https://gcalls.co/gg-wager-zaklady-na-sports-activity-i-esport-kasyno-gr/,"Gg Wager Zakłady Na Sports Activity I Esport, Kasyno Gr",REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2022-12-10,2024-03-26,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18223,https://gcalls.co/ggbet-strona-oficjalna-zaklady-bukmacherskie-onlin/,“ggbet Strona Oficjalna Zakłady Bukmacherskie Onlin,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2023-01-08,2024-03-27,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
