Batch,Batch Name,Post ID,Title,Status,Hub,Words,Quality,Primary Action,Priority,Claims
Batch 1,STRONG posts — normalise & keep,1134,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần cuối),publish,HUB-03,2903,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,1187,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 1),publish,HUB-03,2867,STRONG,VERIFY_PRODUCT,P2,unlimited
Batch 1,STRONG posts — normalise & keep,861,11 chỉ số đánh giá quan trọng đối với bộ phận Chăm Sóc Khách Hàng,publish,HUB-04,2866,STRONG,VERIFY_PRODUCT,P2,sla_uptime
Batch 1,STRONG posts — normalise & keep,1231,Tương lai của tổng đài doanh nghiệp: 10 xu hướng nổi bật nhất,publish,HUB-01,2827,STRONG,VERIFY_PRODUCT,P2,always_247
Batch 1,STRONG posts — normalise & keep,15332,Dịch Vụ Voice Brandname Là Gì?,publish,HUB-08,2761,STRONG,VERIFY_PRODUCT,P2,unlimited
Batch 1,STRONG posts — normalise & keep,10753,Mẫu bảng đánh giá nhân viên bán hàng mới nhất,publish,HUB-03,2595,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,10747,7 bước lập kế hoạch telesales hiệu quả,publish,HUB-03,2593,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,1113,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần 1),publish,HUB-03,2421,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,2768,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần 1),publish,HUB-01,2387,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,1071,Cách tạo hồ sơ khách hàng lý tưởng cho nhóm khách hàng tiềm năng B2B,publish,HUB-03,2383,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,2811,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần cuối),publish,HUB-01,2339,STRONG,VERIFY_PRODUCT,P2,always_247|unlimited
Batch 1,STRONG posts — normalise & keep,1296,Bí quyết telesales: Nên hay không sử dụng kịch bản cuộc gọi bán hàng?,publish,HUB-03,2300,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,10754,Cuộc họp đánh giá bán hàng hàng năm: 8 bước để thực hiện hiệu quả,publish,HUB-03,2263,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,1351,6 cách nhắn tin cho khách hàng đạt hiệu quả trong quy trình bán hàng,publish,HUB-03,2129,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,1368,Phần mềm gọi tự động và lợi ích đối với chiến lược bán hàng,publish,HUB-03,2111,STRONG,VERIFY_LEGAL,P1,customer_named
Batch 1,STRONG posts — normalise & keep,1102,5 chỉ số đo lường hiệu suất bán hàng quan trọng mà quản lý nên theo dõi,publish,HUB-03,2094,STRONG,VERIFY_LEGAL,P1,customer_named
Batch 1,STRONG posts — normalise & keep,872,Công nghệ đang thay đổi cách mọi người làm việc từ xa như thế nào?,publish,HUB-08,2015,STRONG,VERIFY_LEGAL,P1,customer_named
Batch 1,STRONG posts — normalise & keep,2958,Bán hàng qua điện thoại: Làm gì nếu khách hàng nói không có thời gian?,publish,HUB-03,2009,STRONG,VERIFY_PRODUCT,P2,pricing
Batch 2,CRM / Helpdesk / Integration,15743,Đồng Bộ Hóa Dữ Liệu Là Gì? Tại Sao Nên Đồng Bộ Dữ Liệu?,publish,HUB-02,1292,ADEQUATE,KEEP_AS_IS,P1,
Batch 2,CRM / Helpdesk / Integration,15384,Salesforce Marketing Cloud Là Gì? Tìm Hiểu Thông Tin Từ A-Z,publish,HUB-02,1200,ADEQUATE,VERIFY_PRODUCT,P1,unlimited
Batch 2,CRM / Helpdesk / Integration,15380,So Sánh Salesforce CRM Và Các Phần Mềm Khác,publish,HUB-02,1175,ADEQUATE_SHORT,KEEP_AS_IS,P1,
Batch 2,CRM / Helpdesk / Integration,15314,Salesforce Là Gì? Những Thông Tin Quan Trọng Nhất,publish,HUB-02,1123,ADEQUATE_SHORT,KEEP_AS_IS,P1,
Batch 2,CRM / Helpdesk / Integration,15335,Phần Mềm CRM Việt Nam Là Gì?,publish,HUB-02,1121,ADEQUATE_SHORT,KEEP_AS_IS,P1,
Batch 2,CRM / Helpdesk / Integration,15363,Vì Sao Chiến Lược Chăm Sóc Khách Hàng Với SalesForce Cần Thiết,publish,HUB-02,1083,ADEQUATE_SHORT,KEEP_AS_IS,P1,
Batch 3,QA/QC,16176,Nâng Cao Chất Lượng Nguồn Nhân Lực Trong Doanh Nghiệp,publish,HUB-05,1781,ADEQUATE,KEEP_AS_IS,P1,
Batch 4,Voicebot & AI,14292,Marketing Automation Là Gì? Những Thông Tin Cần Biết,publish,HUB-06,1029,ADEQUATE_SHORT,KEEP_AS_IS,P1,
Batch 5,Tổng đài quốc tế,—,(no posts in this batch),—,—,—,—,—,—,—
Batch 6,Telesales / Call Center / CX,1828,Cải thiện trải nghiệm khách hàng tại Call Center bằng biểu mẫu chấm điểm đánh giá cuộc gọi,publish,HUB-01,1999,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,1324,Thế nào là telesales thành công và cách đánh giá cuộc gọi bán hàng?,publish,HUB-03,1945,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,10750,Cách bán hàng hiệu quả bằng giọng nói,publish,HUB-03,1931,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,884,Tiếp thị qua điện thoại: 13 mẹo chinh phục khách hàng,publish,HUB-03,1911,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,1968,Tổng đài quốc tế: Mở rộng thị trường dễ dàng với phần mềm Call Center kết nối số nước ngoài,publish,HUB-01,1900,ADEQUATE,VERIFY_PRODUCT,P1,countries_70|setup_time
Batch 6,Telesales / Call Center / CX,603,10 Thống kê về hệ thống VoIP chứng minh tầm quan trọng của công nghệ,publish,HUB-01,1860,ADEQUATE,VERIFY_PRODUCT,P2,pricing
Batch 6,Telesales / Call Center / CX,15713,Quản Lý Cuộc Gọi Khách Hàng Có Thật Sự Dễ Dàng?,publish,HUB-01,1854,ADEQUATE,VERIFY_PRODUCT,P2,setup_time
Batch 6,Telesales / Call Center / CX,15738,"Tại Sao Dịch Vụ Tổng Đài Ảo Dành Cho Startup ""Bùng Nổ"" 2023?",publish,HUB-01,1826,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,13483,Tổng Đài Công Nghệ Là Gì? Có Nên Đầu Tư Vào Tổng Đài Ảo?,publish,HUB-01,1820,ADEQUATE,VERIFY_PRODUCT,P1,qc_100|always_247|unlimited
Batch 6,Telesales / Call Center / CX,1219,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 3),publish,HUB-03,1794,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,654,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần cuối),publish,HUB-01,1722,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,15993,Phương Pháp Quản Lý Telesale Hiệu Quả,publish,HUB-03,1667,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,12686,Học Ngay 5 Kinh Nghiệm Bán Hàng Trên Shopee Cực Hiệu Quả 2022,publish,HUB-03,1638,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,15589,Câu Hỏi Chăm Sóc Khách Hàng Cũ & Kịch Bản CSKH Hiệu Quả,publish,HUB-04,1624,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,12797,Khóa Học Bán Hàng Trên Shopee Nào Hiệu Quả Nhất,publish,HUB-03,1619,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,1427,Các chỉ số đánh giá phễu bán hàng hiệu quả,publish,HUB-03,1605,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,15904,8 Bước Bán Hàng Cơ Bản Và Hiệu Quả Cho Nhân Viên Sales,publish,HUB-03,1601,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,1314,Telesales: Cách tập trung khi gọi điện bán hàng,publish,HUB-03,1579,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,10746,Xây dựng chiến lược email follow-up giúp bán hàng hiệu quả (Phần cuối),publish,HUB-03,1578,ADEQUATE,VERIFY_LEGAL,P1,customer_named
Batch 6,Telesales / Call Center / CX,1560,Tiếp thị qua điện thoại: Kỹ năng xử lý từ chối giúp tăng cơ hội bán hàng,publish,HUB-03,1562,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,14462,Hotline Là Gì? Có Những Loại Đầu Số Hotline Nào Hiện Nay?,publish,HUB-01,1553,ADEQUATE,VERIFY_PRODUCT,P2,pricing
Batch 6,Telesales / Call Center / CX,15353,Cách Xây Dựng Quy Trình Bán Hàng Của Doanh Nghiệp Hiệu Quả,publish,HUB-03,1537,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,16324,Tự Ghi Âm Cuộc Gọi Và Cách Hướng Dẫn Cài,publish,HUB-01,1501,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,15830,Mô Hình Trải Nghiệm Khách Hàng Là Gì?,publish,HUB-04,1494,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,16018,Đăng Ký Tổng Đài Ảo: Giải Pháp Chăm Sóc Khách Hàng Hiệu Quả,publish,HUB-01,1488,ADEQUATE,VERIFY_LEGAL,P1,always_247|customer_named
Batch 6,Telesales / Call Center / CX,10752,Đừng báo giá giải pháp trước khi truyền tải được giá trị đến khách hàng,publish,HUB-03,1472,ADEQUATE,VERIFY_PRODUCT,P2,pricing
Batch 6,Telesales / Call Center / CX,615,10 mẹo hay nhất để Telesales thành công,publish,HUB-03,1464,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,15926,Cách Telesale Cho Người Mới Bắt Đầu,publish,HUB-03,1461,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,16005,Hệ Thống Chăm Sóc Khách Hàng: Lợi Ích Và 6 Tính Năng,publish,HUB-04,1459,ADEQUATE,VERIFY_LEGAL,P1,customer_named
Batch 6,Telesales / Call Center / CX,15306,Chăm Sóc Khách Hàng Qua Điện Thoại Và Kỹ Năng Cần Thiết,publish,HUB-04,1454,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,1591,Giọng nói: Yếu tố quyết định thành công trong tiếp thị qua điện thoại,publish,HUB-03,1442,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,14787,Cách Xử Lý Các Tình Huống Chăm Sóc Khách Hàng,publish,HUB-04,1441,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,15859,Tổng Đài IP Và Những Điều Cần Biết Trước Khi Lắp Đặt,publish,HUB-01,1422,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,13242,Tổng Đài Ảo Miễn Phí Là Gì? Top 5+ Tổng Đài Ảo Miễn Phí CRM,publish,HUB-01,1418,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,15681,Tin Nhắn Chăm Sóc Khách Hàng Cũ Giúp Gia Tăng Hiệu Quả,publish,HUB-04,1390,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,10733,Cuộc gọi tiếp thị qua điện thoại là gì và cách thực hiện cuộc gọi hiệu quả?,publish,HUB-01,1377,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,15561,Trải Nghiệm Khách Hàng Xuất Sắc Là Gì? Cách Nâng Cấp,publish,HUB-04,1375,ADEQUATE,VERIFY_PRODUCT,P2,unlimited
Batch 6,Telesales / Call Center / CX,10748,5 điều về trải nghiệm khách hàng mà mọi nhân viên bán hàng nên biết,publish,HUB-03,1365,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,13427,Giải Pháp Tổng Đài Ảo Không Dây Có Gì Tốt?,publish,HUB-01,1355,ADEQUATE,VERIFY_PRODUCT,P1,qc_100
Batch 6,Telesales / Call Center / CX,1420,Cách giảm áp lực khi làm telesales,publish,HUB-03,1342,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,14502,IVR Là Gì? Và Những Điều Cần Biết Về IVR,publish,HUB-01,1337,ADEQUATE,VERIFY_PRODUCT,P2,unlimited
Batch 6,Telesales / Call Center / CX,669,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần 1),publish,HUB-01,1326,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,16145,Phương Pháp Chăm Sóc Khách Hàng Hiệu Quả Nhất Hiện Nay,publish,HUB-04,1320,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,14522,ACD Là Gì? Ứng Dụng Thực Tế Của ACD Vào Call Center,publish,HUB-01,1306,ADEQUATE,VERIFY_PRODUCT,P2,setup_time
Batch 6,Telesales / Call Center / CX,10751,5 bước để thiết kế một kịch bản bán hàng thành công,publish,HUB-03,1300,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,15884,Dịch Vụ Tổng Đài Đám Mây Cho Start-Up,publish,HUB-01,1282,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,10756,Sales: Telesales và Telemarketing,publish,HUB-03,1250,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,1440,Tiếp thị qua điện thoại: Hướng dẫn nhanh Cold Calling chuyên nghiệp,publish,HUB-03,1249,ADEQUATE,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,12590,Phần Mềm SMS Brandname Nào Tốt Nhất?,publish,HUB-04,1239,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,14902,Dịch Vụ Chăm Sóc Khách Hàng Là Gì?,publish,HUB-04,1232,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,14415,Kế Hoạch Chăm Sóc Khách Hàng Cũ Hiệu Quả Nhất,publish,HUB-04,1229,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,15604,Giải Pháp Chăm Sóc Khách Hàng Nào Tối Ưu Nhất?,publish,HUB-04,1227,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,16109,Chú Ý Khi Xây Dựng Sơ Đồ Quy Trình Chăm Sóc Khách Hàng,publish,HUB-04,1212,ADEQUATE,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,13388,Tổng Đài Nội Bộ Ảo Khác Tổng Đài Ảo Điểm Nào?,publish,HUB-01,1201,ADEQUATE,VERIFY_LEGAL,P1,customer_named
Batch 6,Telesales / Call Center / CX,15008,Tổng Đài IP Và Những Khác Biệt So Với Tổng Đài Analog,publish,HUB-01,1199,ADEQUATE_SHORT,VERIFY_PRODUCT,P2,unlimited
Batch 6,Telesales / Call Center / CX,10745,Xây dựng chiến lược email follow-up giúp bán hàng hiệu quả (Phần 1),publish,HUB-03,1195,ADEQUATE_SHORT,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,12625,"SMS Brandname Giá Rẻ, Uy Tín Tại Gcalls",publish,HUB-03,1181,ADEQUATE_SHORT,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,1805,Bán hàng qua điện thoại: 3 câu hỏi bạn nên tự hỏi bản thân trước khi thực hiện cuộc gọi,publish,HUB-03,1179,ADEQUATE_SHORT,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,14797,Tin Nhắn Chăm Sóc Khách Hàng Cũ Hiệu Quả Nhất,publish,HUB-04,1164,ADEQUATE_SHORT,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,14536,Dịch Vụ Tổng Đài Ảo - 13 Tính Năng Nổi Bật,publish,HUB-01,1162,ADEQUATE_SHORT,VERIFY_PRODUCT,P2,unlimited
Batch 6,Telesales / Call Center / CX,14607,Mẫu Lời Chào Tổng Đài Điện Thoại Phổ Biến Hiện Nay,publish,HUB-01,1160,ADEQUATE_SHORT,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,15806,Giải Pháp Tổng Đài Ảo Cho Doanh Nghiệp Vừa Và Nhỏ,publish,HUB-01,1137,ADEQUATE_SHORT,VERIFY_PRODUCT,P2,always_247
Batch 6,Telesales / Call Center / CX,15217,Phần Mềm Quản Lý Bán Hàng Đa Kênh Là Gì? Có Nên Sử Dụng?,publish,HUB-03,1127,ADEQUATE_SHORT,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,13286,Tổng Đài Ảo Là Gì? Lợi Ích Hàng Đầu Dành Cho Doanh Nghiệp,publish,HUB-01,1114,ADEQUATE_SHORT,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,14560,Số Tổng Đài 1800 Là Gì? Hướng Dẫn Đăng Ký Đầu Số 1800 Đơn Giản,publish,HUB-01,1109,ADEQUATE_SHORT,VERIFY_PRODUCT,P2,unlimited
Batch 6,Telesales / Call Center / CX,1817,Cách chiếm được lòng tin của khách hàng kín tiếng,publish,HUB-03,1108,ADEQUATE_SHORT,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,15250,Tổng Đài Contact Center Là Gì?,publish,HUB-01,1106,ADEQUATE_SHORT,VERIFY_LEGAL,P1,always_247|customer_named
Batch 6,Telesales / Call Center / CX,15207,5 Lý Do Nên Chọn Dịch Vụ Chăm Sóc Khách Hàng Viettel,publish,HUB-04,1098,ADEQUATE_SHORT,VERIFY_LEGAL,P1,always_247|pricing|customer_named
Batch 6,Telesales / Call Center / CX,15281,Mua Số Tổng Đài 1900 Có Lợi Ích Gì? Nên Mua Ở Đâu Uy Tín?,publish,HUB-01,1094,ADEQUATE_SHORT,VERIFY_PRODUCT,P2,never_miss|unlimited|pricing
Batch 6,Telesales / Call Center / CX,14568,Giải Đáp Thông Tin Về VoIP Và Ứng Dụng Thực Tế,publish,HUB-01,1091,ADEQUATE_SHORT,VERIFY_PRODUCT,P2,unlimited
Batch 6,Telesales / Call Center / CX,15724,Bí Quyết Chăm Sóc Khách Hàng Tuyệt Đỉnh Nhất,publish,HUB-04,1084,ADEQUATE_SHORT,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,10740,Bộ câu hỏi phỏng vấn chuyên viên Telemarketing và Telesales,publish,HUB-03,1081,ADEQUATE_SHORT,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,16022,Cách Gọi Telesale Hiệu Quả Mà Bạn Chưa Biết,publish,HUB-03,1079,ADEQUATE_SHORT,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,15943,Chương Trình Chăm Sóc Khách Hàng Tối Ưu Nhất,publish,HUB-04,1075,ADEQUATE_SHORT,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,15235,Customer Success Là Gì? Những Thông Tin Cụ Thể Nhất,publish,HUB-04,1072,ADEQUATE_SHORT,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,15660,Chiến Lược Giữ Chân Khách Hàng Hiệu Quả Nhất,publish,HUB-04,1072,ADEQUATE_SHORT,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,13208,Dịch Vụ Call Center Là Gì? Công Ty Cung Cấp Uy Tín Nhất,publish,HUB-01,1066,ADEQUATE_SHORT,VERIFY_PRODUCT,P2,always_247
Batch 6,Telesales / Call Center / CX,14506,Quy Trình Chăm Sóc Khách Hàng Sau Bán Hàng,publish,HUB-03,1065,ADEQUATE_SHORT,REFRESH_METADATA,P2,
Batch 6,Telesales / Call Center / CX,15262,Phần Mềm Tổng Đài Ảo Là Gì?,publish,HUB-01,1059,ADEQUATE_SHORT,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,14890,Hệ Thống Tổng Đài Điện Thoại Chuẩn Là Như Thế Nào?,publish,HUB-01,1048,ADEQUATE_SHORT,KEEP_AS_IS,P2,
Batch 6,Telesales / Call Center / CX,676,Làm thế nào để mở rộng một nhóm bán hàng toàn cầu?,publish,HUB-03,972,ADEQUATE_SHORT,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,10734,Cách tiếp thị qua điện thoại hiệu quả xử lý 3 lời từ chối cuộc gọi chào hàng,publish,HUB-01,933,ADEQUATE_SHORT,NORMALIZE,P2,
Batch 6,Telesales / Call Center / CX,439,Góc nhìn của doanh nghiệp và khách hàng về tổng đài CSKH và bán hàng,publish,HUB-04,530,THIN,RETIRE_410,P3,customer_named
Batch 7,Kiến thức vận hành doanh nghiệp,16611,9 việc NÊN và KHÔNG NÊN làm trong quy trình đánh giá nhân viên,publish,HUB-08,1909,ADEQUATE,REFRESH_METADATA,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,14773,Best Virtual Phone System For Small Medium Business 2023,publish,HUB-08,1879,ADEQUATE,MANUAL_REVIEW,P3,unlimited
Batch 7,Kiến thức vận hành doanh nghiệp,16271,Nhà Đầu Tư Thiên Thần - Cứu Tinh Của Start Up,publish,HUB-08,1821,ADEQUATE,KEEP_AS_IS,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,12751,"Kinh Nghiệm Kinh Doanh Shopee, Bán Hàng Online Hiệu Quả",publish,HUB-08,1660,ADEQUATE,KEEP_AS_IS,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,10742,Quyết toán thuế TNCN - Doanh nghiệp và người lao động cần biết,publish,HUB-08,1649,ADEQUATE,VERIFY_PRODUCT,P2,pricing
Batch 7,Kiến thức vận hành doanh nghiệp,826,Cách mạng Công nghiệp 4.0 và lợi ích đối với doanh nghiệp,publish,HUB-08,1626,ADEQUATE,NORMALIZE,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,15558,8 Cách Giữ Khách Hàng Cũ Hiệu Quả,publish,HUB-08,1619,ADEQUATE,KEEP_AS_IS,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,16254,5 Bước Lập Kế Hoạch Marketing Hiệu Quả Cho Doanh Nghiệp,publish,HUB-08,1585,ADEQUATE,KEEP_AS_IS,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,15646,Top 5 Lợi Ích Của Phần Mềm Auto Answer,publish,HUB-08,1584,ADEQUATE,VERIFY_PRODUCT,P2,always_247
Batch 7,Kiến thức vận hành doanh nghiệp,16131,Phần Mềm Quản Lý Khách Hàng Miễn Phí Cho Doanh Nghiệp,publish,HUB-08,1574,ADEQUATE,KEEP_AS_IS,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,16202,8 Phương Pháp Tiếp Cận Khách Hàng Hiệu Quả,publish,HUB-08,1571,ADEQUATE,KEEP_AS_IS,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,16240,Xác Định Khách Hàng Mục Tiêu: Vai Trò & Cách Xác Định,publish,HUB-08,1548,ADEQUATE,KEEP_AS_IS,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,16095,"Hệ Thống Quản Lý Khách Hàng Trong Nhà Hàng, Khách Sạn",publish,HUB-08,1531,ADEQUATE,KEEP_AS_IS,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,553,"Gcalls và bạn - đối tác giới thiệu khách hàng - Cùng hợp tác, cùng có lợi",publish,HUB-08,1527,ADEQUATE,VERIFY_PRODUCT,P1,countries_70|always_247|customer_named
Batch 7,Kiến thức vận hành doanh nghiệp,15982,Quản Lý Quan Hệ Khách Hàng Trong Doanh Nghiệp,publish,HUB-08,1497,ADEQUATE,KEEP_AS_IS,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,12770,Shopee Template Và Cách Thiết Kế Chi Tiết Trên Canva,publish,HUB-08,1468,ADEQUATE,KEEP_AS_IS,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,16252,Mục Tiêu SMART Là Gì? Ví Dụ Và Cách Đặt Mục Tiêu SMART,publish,HUB-08,1452,ADEQUATE,KEEP_AS_IS,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,10741,8 lời khuyên dành cho nhà quản lý Call Center,publish,HUB-08,1400,ADEQUATE,NORMALIZE,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,12281,SMS Marketing Là Gì? Vì Sao Bạn Nên Dùng SMS Marketing?,publish,HUB-08,1392,ADEQUATE,VERIFY_PRODUCT,P2,pricing
Batch 7,Kiến thức vận hành doanh nghiệp,15847,Lưu Trữ Thông Tin Khách Hàng Với Top 3 Phần Mềm Tốt Nhất,publish,HUB-08,1390,ADEQUATE,KEEP_AS_IS,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,684,Goals (Mục đích) vs Objectives (Mục tiêu): phân biệt đơn giản,publish,HUB-08,1376,ADEQUATE,NORMALIZE,P2,
Batch 7,Kiến thức vận hành doanh nghiệp,15775,5 Lợi Ích Của Dịch Vụ Hỗ Trợ Trực Tuyến,publish,HUB-08,1358,ADEQUATE,KEEP_AS_IS,P2,
