Batch,Batch Scope,Source,Legacy Post ID,Title,HUB,Decision,Priority,Pillar/Supporting,Target Words,Draft Status
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,2704,Hướng dẫn tạo biểu mẫu chấm điểm đánh giá cuộc gọi tại Call Center,HUB-07,MERGE_INTO_PRIMARY,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,17802,Tiêu chí đánh giá hiệu quả bán hàng,HUB-04,MERGE_INTO_PRIMARY,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,14773,Best Virtual Phone System For Small Medium Business 2023,HUB-10,MANUAL_DECISION,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,314,3 cách để doanh nghiệp tồn tại và vươn lên thời Covid,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,11915,Chạy Quảng Cáo Trên Shopee Từ A Đến Z,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,12953,Tối Ưu Quảng Cáo Shopee Hiệu Quả Nhất,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,13067,Cách Thiết Kế Gian Hàng Trên Lazada 2022,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,13469,Tuyển dụng Customer Success Specialist Intern,HUB-05,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,14304,Customer Success Specialist Fulltime,HUB-05,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,10801,Tuyển dụng Customer Success Engineer (IT Internship),HUB-05,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,10798,Tuyển dụng Customer Success Engineer (IT Full Time),HUB-05,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,10957,Tuyển dụng Chuyên Viên Tư Vấn Doanh Nghiệp FullTime,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,10962,Tuyển dụng Thực Tập Sinh Tư Vấn Doanh Nghiệp,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,13535,HR Intern,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,14577,HR Parttime,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,14308,Customer Success Engineer Fulltime,HUB-05,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,13456,Tuyển dụng UI/UX Intern,HUB-10,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,9993,Tai Nghe Jabra Biz 1100 QD Duo,HUB-01,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,9991,Tai nghe EPOS Sennheiser SC 60 USB CTRL,HUB-03,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,9980,Tai nghe EPOS Sennheiser 30 USB CTRL,HUB-03,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,9995,Tai nghe Jabra Biz 1100 USB Duo,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,9994,Tai nghe Jabra Biz 1100 USB Mono,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,9992,Tai nghe Jabra Biz 1100QD Mono,HUB-03,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,9996,Tai nghe Logitech H340,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,10732,Ebook: Bí quyết telesales hiệu quả,HUB-04,MANUAL_DECISION,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,15328,salesforce,HUB-03,MANUAL_DECISION,P3,,,N/A
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,2621,Ưu và nhược điểm của các giải pháp trong  phần mềm CRM HubSpot,HUB-03,REBUILD_UPDATE_TOPIC,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,2437,16 công cụ tạo phiếu yêu cầu hỗ trợ ticket cho bộ phận Dịch vụ khách hàng,HUB-03,REBUILD_UPDATE_TOPIC,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,2850,Ưu và nhược điểm của Zendesk: Đâu là phần mềm help desk tốt nhất?,HUB-03,REBUILD_UPDATE_TOPIC,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,2835,Liệu Salesforce có phải là phần mềm CRM tốt nhất trên thị trường?,HUB-03,REBUILD_UPDATE_TOPIC,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,2819,"Ưu, nhược điểm của phần mềm quản lý quan hệ khách hàng Zoho CRM",HUB-03,REBUILD_UPDATE_TOPIC,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,2883,Sapo POS là gì? Phần mềm Sapo POS có tốt không?,HUB-03,REBUILD_UPDATE_TOPIC,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,2864,Phần mềm Pancake POS: Tính năng và những ưu nhược điểm cần biết,HUB-03,REBUILD_UPDATE_TOPIC,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,2244,Làm gì để mở rộng đội ngũ hỗ trợ khách hàng mà không hi sinh chất lượng dịch vụ?,HUB-07,REBUILD_UPDATE_TOPIC,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,1967,Chiến lược mở rộng ra thị trường nước quốc tế,HUB-09,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,2584,Phần mềm Getfly: Tính năng và ứng dụng của phần mềm CRM “gốc Việt”,HUB-03,REBUILD_UPDATE_TOPIC,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,1368,Phần mềm gọi tự động và lợi ích đối với chiến lược bán hàng,HUB-02,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,1828,Cải thiện trải nghiệm khách hàng tại Call Center bằng biểu mẫu chấm điểm đánh giá cuộc gọi,HUB-07,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,16271,Nhà Đầu Tư Thiên Thần - Cứu Tinh Của Start Up,HUB-08,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,553,"Gcalls và bạn - đối tác giới thiệu khách hàng - Cùng hợp tác, cùng có lợi",HUB-03,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,16324,Tự Ghi Âm Cuộc Gọi Và Cách Hướng Dẫn Cài,HUB-07,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,15743,Đồng Bộ Hóa Dữ Liệu Là Gì? Tại Sao Nên Đồng Bộ Dữ Liệu?,HUB-03,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,15384,Salesforce Marketing Cloud Là Gì? Tìm Hiểu Thông Tin Từ A-Z,HUB-03,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 1,Top 18 P0 conversion articles,LEGACY_ROW,15380,So Sánh Salesforce CRM Và Các Phần Mềm Khác,HUB-03,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,647,7 Lý Do Nên Chọn Tổng Đài Ảo Call Center Cho Doanh Nghiệp,HUB-01,REBUILD_KEEP_URL,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,588,"Tổng Đài Call Center Và Những Kiến Thức ""Cứu Sống"" Doanh Nghiệp",HUB-01,REBUILD_KEEP_URL,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,17917,15 cách để tránh cạn kiệt năng lượng của tổng đài viên,HUB-01,REBUILD_UPDATE_TOPIC,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,566,Dịch Vụ Call Center là gì? Dịch vụ Tổng đài Call Center,HUB-01,REBUILD_KEEP_URL,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,10727,9 quy tắc giao tiếp qua điện thoại với khách hàng mà tổng đài viên cần biết,HUB-01,REBUILD_UPDATE_TOPIC,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,2784,18 lợi ích mà giải pháp tích hợp điện thoại máy tính đem đến cho Call Center,HUB-01,REBUILD_KEEP_URL,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,1231,Tương lai của tổng đài doanh nghiệp: 10 xu hướng nổi bật nhất,HUB-01,REBUILD_KEEP_URL,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,2768,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần 1),HUB-01,REBUILD_KEEP_URL,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,2811,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần cuối),HUB-01,REBUILD_KEEP_URL,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,1968,Tổng đài quốc tế: Mở rộng thị trường dễ dàng với phần mềm Call Center kết nối số nước ngoài,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,603,10 Thống kê về hệ thống VoIP chứng minh tầm quan trọng của công nghệ,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,15738,"Tại Sao Dịch Vụ Tổng Đài Ảo Dành Cho Startup ""Bùng Nổ"" 2023?",HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,13483,Tổng Đài Công Nghệ Là Gì? Có Nên Đầu Tư Vào Tổng Đài Ảo?,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,17856,Hướng dẫn cải thiện tình trạng quá tải tại Call Center vào các mùa lễ lớn sale to,HUB-01,REBUILD_UPDATE_TOPIC,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,654,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần cuối),HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,14462,Hotline Là Gì? Có Những Loại Đầu Số Hotline Nào Hiện Nay?,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,16018,Đăng Ký Tổng Đài Ảo: Giải Pháp Chăm Sóc Khách Hàng Hiệu Quả,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,15859,Tổng Đài IP Và Những Điều Cần Biết Trước Khi Lắp Đặt,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,13242,Tổng Đài Ảo Miễn Phí Là Gì? Top 5+ Tổng Đài Ảo Miễn Phí CRM,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,10741,8 lời khuyên dành cho nhà quản lý Call Center,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,13427,Giải Pháp Tổng Đài Ảo Không Dây Có Gì Tốt?,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,14502,IVR Là Gì? Và Những Điều Cần Biết Về IVR,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,13378,Giải Pháp Tổng Đài Chăm Sóc Khách Hàng: Bỏ Vốn 1 Một Lời 10,HUB-01,REBUILD_UPDATE_TOPIC,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,669,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần 1),HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,14522,ACD Là Gì? Ứng Dụng Thực Tế Của ACD Vào Call Center,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,15884,Dịch Vụ Tổng Đài Đám Mây Cho Start-Up,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,13426,Lắp Đặt Tổng Đài Ảo Có Lợi Ích Gì?,HUB-01,REBUILD_UPDATE_TOPIC,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,13388,Tổng Đài Nội Bộ Ảo Khác Tổng Đài Ảo Điểm Nào?,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,15008,Tổng Đài IP Và Những Khác Biệt So Với Tổng Đài Analog,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,14536,Dịch Vụ Tổng Đài Ảo - 13 Tính Năng Nổi Bật,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,14607,Mẫu Lời Chào Tổng Đài Điện Thoại Phổ Biến Hiện Nay,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,15806,Giải Pháp Tổng Đài Ảo Cho Doanh Nghiệp Vừa Và Nhỏ,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,13286,Tổng Đài Ảo Là Gì? Lợi Ích Hàng Đầu Dành Cho Doanh Nghiệp,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,14560,Số Tổng Đài 1800 Là Gì? Hướng Dẫn Đăng Ký Đầu Số 1800 Đơn Giản,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,15250,Tổng Đài Contact Center Là Gì?,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,15281,Mua Số Tổng Đài 1900 Có Lợi Ích Gì? Nên Mua Ở Đâu Uy Tín?,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,14568,Giải Đáp Thông Tin Về VoIP Và Ứng Dụng Thực Tế,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,13409,Giải Pháp Tổng Đài Hỗ Trợ - Ưu Nhược Điểm,HUB-01,REBUILD_UPDATE_TOPIC,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,13208,Dịch Vụ Call Center Là Gì? Công Ty Cung Cấp Uy Tín Nhất,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,15262,Phần Mềm Tổng Đài Ảo Là Gì?,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,14890,Hệ Thống Tổng Đài Điện Thoại Chuẩn Là Như Thế Nào?,HUB-01,REBUILD_KEEP_URL,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,LEGACY_ROW,16389,Call Center Là Gì? Tất Tần Tật Về Call Center Mà Bạn Nên Biết,HUB-01,REBUILD_UPDATE_TOPIC,P1,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 2,Gcalls Plus & Call Center,NET_NEW,—,Tổng đài trên trình duyệt hoạt động thế nào trong một ngày làm việc,HUB-02 Gcalls Plus,NEW_ARTICLE,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 3,CRM / Helpdesk,LEGACY_ROW,15314,Salesforce Là Gì? Những Thông Tin Quan Trọng Nhất,HUB-03,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 3,CRM / Helpdesk,LEGACY_ROW,15335,Phần Mềm CRM Việt Nam Là Gì?,HUB-03,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 3,CRM / Helpdesk,LEGACY_ROW,15363,Vì Sao Chiến Lược Chăm Sóc Khách Hàng Với SalesForce Cần Thiết,HUB-03,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 3,CRM / Helpdesk,NET_NEW,—,Checklist đánh giá mức độ sẵn sàng tích hợp tổng đài với CRM,HUB-03 CRM/Helpdesk,NEW_ARTICLE,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 4,QA/QC,NET_NEW,—,Xây dựng bộ tiêu chí đánh giá chất lượng cuộc gọi từ đầu,HUB-07 QA/QC,NEW_ARTICLE,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 4,QA/QC,NET_NEW,—,Chấm điểm thủ công và hỗ trợ bằng AI khác nhau ở đâu,HUB-07 QA/QC,NEW_ARTICLE,P0,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 5,Voicebot / AI,LEGACY_ROW,12770,Shopee Template Và Cách Thiết Kế Chi Tiết Trên Canva,HUB-08,REBUILD_KEEP_URL,P3,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 5,Voicebot / AI,LEGACY_ROW,14292,Marketing Automation Là Gì? Những Thông Tin Cần Biết,HUB-08,REBUILD_KEEP_URL,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 5,Voicebot / AI,NET_NEW,—,Loại cuộc gọi nào phù hợp đưa vào kịch bản Voicebot,HUB-08 Voicebot/AI,NEW_ARTICLE,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 5,Voicebot / AI,NET_NEW,—,"Voicebot, IVR và tổng đài tự động khác nhau thế nào",HUB-08 Voicebot/AI,NEW_ARTICLE,P0,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 6,Tổng đài quốc tế,NET_NEW,—,Doanh nghiệp cần gì khi gọi ra thị trường nước ngoài,HUB-09 Tổng đài quốc tế,NEW_ARTICLE,P0,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 6,Tổng đài quốc tế,NET_NEW,—,Hồ sơ thường được yêu cầu khi đăng ký đầu số quốc tế,HUB-09 Tổng đài quốc tế,NEW_ARTICLE,P0,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 6,Tổng đài quốc tế,NET_NEW,—,Tổ chức đội hỗ trợ khách hàng lệch múi giờ,HUB-09 Tổng đài quốc tế,NEW_ARTICLE,P0,SUPPORTING,1200-2000,DRAFT_NOT_WRITTEN
Batch 7,Gcalls CX & Customer Service,LEGACY_ROW,2752,Khách hàng tự phục vụ và ví dụ về các cổng thông tin tự phục vụ tốt nhất,HUB-05,REBUILD_UPDATE_TOPIC,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 7,Gcalls CX & Customer Service,LEGACY_ROW,2400,Hướng dẫn đo lường kết quả khảo sát sự hài lòng của khách hàng,HUB-05,REBUILD_UPDATE_TOPIC,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 7,Gcalls CX & Customer Service,LEGACY_ROW,17884,Tại sao tỷ lệ giữ chân khách hàng lại quan trọng đối với doanh nghiệp?,HUB-05,REBUILD_UPDATE_TOPIC,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 7,Gcalls CX & Customer Service,LEGACY_ROW,10729,Làm gì để tạo cuộc khảo sát về mức độ hài lòng của khách hàng hiệu quả?,HUB-05,REBUILD_UPDATE_TOPIC,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 7,Gcalls CX & Customer Service,LEGACY_ROW,2486,Chỉ số NPS là gì và tại sao nó lại quan trọng đối với doanh nghiệp?,HUB-05,REBUILD_UPDATE_TOPIC,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 7,Gcalls CX & Customer Service,LEGACY_ROW,17894,"Tại sao nói: “Phản hồi của khách hàng của bạn vẫn còn quan trọng đối với doanh nghiệp?""",HUB-05,REBUILD_UPDATE_TOPIC,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 7,Gcalls CX & Customer Service,LEGACY_ROW,2472,Chỉ số CES là gì và khi nào nên sử dụng khảo sát CES?,HUB-05,REBUILD_UPDATE_TOPIC,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
Batch 7,Gcalls CX & Customer Service,LEGACY_ROW,861,11 chỉ số đánh giá quan trọng đối với bộ phận Chăm Sóc Khách Hàng,HUB-05,REBUILD_KEEP_URL,P1,PILLAR,2000-3000,DRAFT_NOT_WRITTEN
